===2023-06-16 21:47:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[14,20,30,44,65,96,142,208,307,451,31,46,68,101,149,219,322,51,74,110,162,239,64,94,139,119,175,200,136,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Best site-Indian_utk-3              | Epoch:2 | Val Acc: 0.3913
 Best site-Indian_utk-4              | Epoch:2 | Val Acc: 0.2941
 Best site-Black_utk-0               | Epoch:2 | Val Acc: 0.3333
 Best site-Black_utk-1               | Epoch:2 | Val Acc: 0.4615
 Best site-Black_utk-2               | Epoch:2 | Val Acc: 0.1579
 Best site-Southeast_Asian-0         | Epoch:2 | Val Acc: 0.2353
 Best site-Southeast_Asian-1         | Epoch:2 | Val Acc: 0.3200
 Best site-Asian_ffhq-0              | Epoch:2 | Val Acc: 0.5714
 Best site-Latino_Hispanic_ffhq-0    | Epoch:2 | Val Acc: 0.3158
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven-mix5_1.47_1_random_dis_cluster_-1_split/fedavg...
============ Train epoch 3 ============
 Site-White_utk-0                   | Train Loss: 2.1988 | Train Acc: 0.0000
 Site-White_utk-1                   | Train Loss: 2.1524 | Train Acc: 0.1500
 Site-White_utk-2                   | Train Loss: 2.1866 | Train Acc: 0.1000
 Site-White_utk-3                   | Train Loss: 2.1724 | Train Acc: 0.1364
 Site-White_utk-4                   | Train Loss: 2.1233 | Train Acc: 0.0769
 Site-White_utk-5                   | Train Loss: 2.1817 | Train Acc: 0.0938
 Site-White_utk-6                   | Train Loss: 2.1599 | Train Acc: 0.1549
 Site-White_utk-7                   | Train Loss: 2.1806 | Train Acc: 0.1346
 Site-White_utk-8                   | Train Loss: 2.1798 | Train Acc: 0.1107
 Site-White_utk-9                   | Train Loss: 2.1739 | Train Acc: 0.1441
 Site-East_Asian-0                  | Train Loss: 2.0636 | Train Acc: 0.4194
 Site-East_Asian-1                  | Train Loss: 2.1045 | Train Acc: 0.3261
 Site-East_Asian-2                  | Train Loss: 2.0951 | Train Acc: 0.3382
 Site-East_Asian-3                  | Train Loss: 2.0879 | Train Acc: 0.3465
 Site-East_Asian-4                  | Train Loss: 2.0954 | Train Acc: 0.3691
 Site-East_Asian-5                  | Train Loss: 2.0918 | Train Acc: 0.3653
 Site-East_Asian-6                  | Train Loss: 2.0596 | Train Acc: 0.3882
 Site-Indian_utk-0                  | Train Loss: 2.1128 | Train Acc: 0.3137
 Site-Indian_utk-1                  | Train Loss: 2.0678 | Train Acc: 0.3649
 Site-Indian_utk-2                  | Train Loss: 2.0896 | Train Acc: 0.3545
 Site-Indian_utk-3                  | Train Loss: 2.0869 | Train Acc: 0.3889
 Site-Indian_utk-4                  | Train Loss: 2.0719 | Train Acc: 0.4017
 Site-Black_utk-0                   | Train Loss: 2.1186 | Train Acc: 0.3281
 Site-Black_utk-1                   | Train Loss: 2.1432 | Train Acc: 0.1702
 Site-Black_utk-2                   | Train Loss: 2.1227 | Train Acc: 0.3165
 Site-Southeast_Asian-0             | Train Loss: 2.1205 | Train Acc: 0.3025
 Site-Southeast_Asian-1             | Train Loss: 2.1177 | Train Acc: 0.2971
 Site-Asian_ffhq-0                  | Train Loss: 2.0441 | Train Acc: 0.5400
