===2023-06-07 13:49:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: True
    save_iter: -1
data_number=[36,48,62,85,112,147,192,252,335,435,146,193,]
client_nums=[10,2,]
domain number = -1
============ Train epoch 0 ============
 Best site-Black-1                   | Epoch:5 | Val Acc: 0.2857
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_binary_race/drfl...
============ Train epoch 6 ============
 Site-White-0                  | Train Loss: 1.9008 | Train Acc: 0.3056
 Site-White-1                  | Train Loss: 1.9434 | Train Acc: 0.3125
 Site-White-2                  | Train Loss: 1.8196 | Train Acc: 0.3710
 Site-White-3                  | Train Loss: 1.9023 | Train Acc: 0.3176
 Site-White-4                  | Train Loss: 1.8845 | Train Acc: 0.3304
 Site-White-5                  | Train Loss: 1.8733 | Train Acc: 0.3265
 Site-White-6                  | Train Loss: 1.8799 | Train Acc: 0.3594
 Site-White-7                  | Train Loss: 1.8827 | Train Acc: 0.3333
 Site-White-8                  | Train Loss: 1.8829 | Train Acc: 0.3224
 Site-White-9                  | Train Loss: 1.8816 | Train Acc: 0.3080
 Site-Black-0                  | Train Loss: 1.9505 | Train Acc: 0.2945
 Site-Black-1                  | Train Loss: 2.0130 | Train Acc: 0.2746
 Site-White-0                       | Val  Loss: 1.7463 | Val  Acc: 0.5556
 Site-White-1                       | Val  Loss: 1.7530 | Val  Acc: 0.3333
 Site-White-2                       | Val  Loss: 1.9951 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 1.8544 | Val  Acc: 0.3636
 Site-White-4                       | Val  Loss: 1.9958 | Val  Acc: 0.2857
 Site-White-5                       | Val  Loss: 1.9404 | Val  Acc: 0.3514
 Site-White-6                       | Val  Loss: 1.9521 | Val  Acc: 0.2653
 Site-White-7                       | Val  Loss: 1.8859 | Val  Acc: 0.2812
 Site-White-8                       | Val  Loss: 1.9137 | Val  Acc: 0.3095
 Site-White-9                       | Val  Loss: 1.9161 | Val  Acc: 0.3853
 Site-Black-0                       | Val  Loss: 2.0415 | Val  Acc: 0.1351
 Site-Black-1                       | Val  Loss: 1.9118 | Val  Acc: 0.3061
Average Valid Accuracy: 0.3185
 Best site-White-0                   | Epoch:6 | Val Acc: 0.5556
 Best site-White-1                   | Epoch:6 | Val Acc: 0.3333
 Best site-White-2                   | Epoch:6 | Val Acc: 0.2500
 Best site-White-3                   | Epoch:6 | Val Acc: 0.3636
 Best site-White-4                   | Epoch:6 | Val Acc: 0.2857
 Best site-White-5                   | Epoch:6 | Val Acc: 0.3514
 Best site-White-6                   | Epoch:6 | Val Acc: 0.2653
 Best site-White-7                   | Epoch:6 | Val Acc: 0.2812
 Best site-White-8                   | Epoch:6 | Val Acc: 0.3095
 Best site-White-9                   | Epoch:6 | Val Acc: 0.3853
 Best site-Black-0                   | Epoch:6 | Val Acc: 0.1351
 Best site-Black-1                   | Epoch:6 | Val Acc: 0.3061
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_binary_race/drfl...
============ Train epoch 7 ============
 Site-White-0                  | Train Loss: 2.0255 | Train Acc: 0.3056
 Site-White-1                  | Train Loss: 1.8609 | Train Acc: 0.3542
 Site-White-2                  | Train Loss: 1.8042 | Train Acc: 0.3871
 Site-White-3                  | Train Loss: 1.8529 | Train Acc: 0.3059
 Site-White-4                  | Train Loss: 1.8625 | Train Acc: 0.3214
 Site-White-5                  | Train Loss: 1.8475 | Train Acc: 0.3265
 Site-White-6                  | Train Loss: 1.8681 | Train Acc: 0.3490
 Site-White-7                  | Train Loss: 1.8588 | Train Acc: 0.3135
 Site-White-8                  | Train Loss: 1.8674 | Train Acc: 0.3254
 Site-White-9                  | Train Loss: 1.8503 | Train Acc: 0.3149
 Site-Black-0                  | Train Loss: 1.9404 | Train Acc: 0.2945
 Site-Black-1                  | Train Loss: 1.9343 | Train Acc: 0.2694
 Site-White-0                       | Val  Loss: 1.6661 | Val  Acc: 0.5556
 Site-White-1                       | Val  Loss: 1.7095 | Val  Acc: 0.5000
 Site-White-2                       | Val  Loss: 2.0227 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 1.8312 | Val  Acc: 0.3636
 Site-White-4                       | Val  Loss: 1.9638 | Val  Acc: 0.3214
 Site-White-5                       | Val  Loss: 1.9294 | Val  Acc: 0.3784
 Site-White-6                       | Val  Loss: 1.9021 | Val  Acc: 0.2653
 Site-White-7                       | Val  Loss: 1.8577 | Val  Acc: 0.3125
 Site-White-8                       | Val  Loss: 1.9013 | Val  Acc: 0.3095
 Site-White-9                       | Val  Loss: 1.8876 | Val  Acc: 0.3945
 Site-Black-0                       | Val  Loss: 2.0324 | Val  Acc: 0.1351
 Site-Black-1                       | Val  Loss: 1.9182 | Val  Acc: 0.3061
Average Valid Accuracy: 0.3410
 Best site-White-0                   | Epoch:7 | Val Acc: 0.5556
 Best site-White-1                   | Epoch:7 | Val Acc: 0.5000
 Best site-White-2                   | Epoch:7 | Val Acc: 0.2500
 Best site-White-3                   | Epoch:7 | Val Acc: 0.3636
 Best site-White-4                   | Epoch:7 | Val Acc: 0.3214
 Best site-White-5                   | Epoch:7 | Val Acc: 0.3784
 Best site-White-6                   | Epoch:7 | Val Acc: 0.2653
 Best site-White-7                   | Epoch:7 | Val Acc: 0.3125
 Best site-White-8                   | Epoch:7 | Val Acc: 0.3095
 Best site-White-9                   | Epoch:7 | Val Acc: 0.3945
 Best site-Black-0                   | Epoch:7 | Val Acc: 0.1351
 Best site-Black-1                   | Epoch:7 | Val Acc: 0.3061
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_binary_race/drfl...
============ Train epoch 8 ============
 Site-White-0                  | Train Loss: 1.7547 | Train Acc: 0.3056
 Site-White-1                  | Train Loss: 1.8700 | Train Acc: 0.3333
 Site-White-2                  | Train Loss: 1.7783 | Train Acc: 0.3548
 Site-White-3                  | Train Loss: 1.8760 | Train Acc: 0.3059
 Site-White-4                  | Train Loss: 1.8127 | Train Acc: 0.3393
 Site-White-5                  | Train Loss: 1.8194 | Train Acc: 0.3401
 Site-White-6                  | Train Loss: 1.8514 | Train Acc: 0.3333
 Site-White-7                  | Train Loss: 1.8404 | Train Acc: 0.3254
 Site-White-8                  | Train Loss: 1.8320 | Train Acc: 0.3433
 Site-White-9                  | Train Loss: 1.8357 | Train Acc: 0.3057
 Site-Black-0                  | Train Loss: 1.9263 | Train Acc: 0.2877
 Site-Black-1                  | Train Loss: 2.0773 | Train Acc: 0.2694
 Site-White-0                       | Val  Loss: 1.6498 | Val  Acc: 0.4444
 Site-White-1                       | Val  Loss: 1.7025 | Val  Acc: 0.3333
 Site-White-2                       | Val  Loss: 2.0018 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 1.7948 | Val  Acc: 0.3636
 Site-White-4                       | Val  Loss: 1.9522 | Val  Acc: 0.3214
 Site-White-5                       | Val  Loss: 1.9125 | Val  Acc: 0.3243
 Site-White-6                       | Val  Loss: 1.9022 | Val  Acc: 0.2857
 Site-White-7                       | Val  Loss: 1.8493 | Val  Acc: 0.2500
 Site-White-8                       | Val  Loss: 1.8759 | Val  Acc: 0.2976
 Site-White-9                       | Val  Loss: 1.8670 | Val  Acc: 0.3945
 Site-Black-0                       | Val  Loss: 2.0361 | Val  Acc: 0.1622
 Site-Black-1                       | Val  Loss: 1.9159 | Val  Acc: 0.2857
Average Valid Accuracy: 0.3094
============ Train epoch 9 ============
 Site-White-0                  | Train Loss: 1.7519 | Train Acc: 0.3611
 Site-White-1                  | Train Loss: 1.8485 | Train Acc: 0.3125
 Site-White-2                  | Train Loss: 1.7437 | Train Acc: 0.3871
 Site-White-3                  | Train Loss: 1.8150 | Train Acc: 0.3176
 Site-White-4                  | Train Loss: 1.8240 | Train Acc: 0.3214
 Site-White-5                  | Train Loss: 1.7856 | Train Acc: 0.3469
 Site-White-6                  | Train Loss: 1.8416 | Train Acc: 0.3385
 Site-White-7                  | Train Loss: 1.8325 | Train Acc: 0.3333
 Site-White-8                  | Train Loss: 1.8318 | Train Acc: 0.3403
 Site-White-9                  | Train Loss: 1.8317 | Train Acc: 0.3080
 Site-Black-0                  | Train Loss: 1.8944 | Train Acc: 0.2740
 Site-Black-1                  | Train Loss: 1.8534 | Train Acc: 0.2642
 Site-White-0                       | Val  Loss: 1.6212 | Val  Acc: 0.4444
 Site-White-1                       | Val  Loss: 1.6989 | Val  Acc: 0.5000
 Site-White-2                       | Val  Loss: 2.0024 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 1.7556 | Val  Acc: 0.3636
 Site-White-4                       | Val  Loss: 1.9895 | Val  Acc: 0.3571
 Site-White-5                       | Val  Loss: 1.8925 | Val  Acc: 0.3514
 Site-White-6                       | Val  Loss: 1.9009 | Val  Acc: 0.2857
 Site-White-7                       | Val  Loss: 1.8204 | Val  Acc: 0.3281
 Site-White-8                       | Val  Loss: 1.8651 | Val  Acc: 0.2976
