===2023-05-26 21:48:56===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 11
    std_rw: False
data_number=[18,27,40,58,87,127,188,276,406,442,42,61,91,134,197,290,418,67,99,146,215,316,124,182,268,158,232,266,181,]
client_nums=[10,7,5,3,2,1,1,]
domain number = 11
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[4, 6, 7, 2, 1, 1, 1, 3, 1, 1, 2, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
sum of wi : 1.0000
 Site-Black_Male               | Train Loss: 2.0095 | Train Acc: 0.1919
 Site-Black_Female             | Train Loss: 1.8143 | Train Acc: 0.3562
 Site-Black_Male               | Train Loss: 1.9651 | Train Acc: 0.2186
 Site-Black_Female             | Train Loss: 1.8719 | Train Acc: 0.3133
 Site-East_Asian_Male          | Train Loss: 1.8757 | Train Acc: 0.3306
 Site-East_Asian_Female        | Train Loss: 1.6824 | Train Acc: 0.4615
 Site-East_Asian_Male          | Train Loss: 1.8279 | Train Acc: 0.3246
 Site-Indian_Female            | Train Loss: 2.0647 | Train Acc: 0.2468
 Site-Indian_Male              | Train Loss: 1.9743 | Train Acc: 0.2241
 Site-Southeast_Asian_Female   | Train Loss: 2.0036 | Train Acc: 0.3158
 Site-Middle_Eastern_Male      | Train Loss: 2.0909 | Train Acc: 0.2099
 Site-White_Male                (6) | Val  Loss: 1.7516 | Val  Acc: 0.5000
 Site-White_Female              (8) | Val  Loss: 1.9534 | Val  Acc: 0.2222
 Site-White_Male                (10)| Val  Loss: 1.9679 | Val  Acc: 0.1923
 Site-White_Female              (1) | Val  Loss: 1.7256 | Val  Acc: 0.3590
 Site-White_Male                (5) | Val  Loss: 1.9651 | Val  Acc: 0.2241
 Site-White_Female              (1) | Val  Loss: 1.7943 | Val  Acc: 0.4000
 Site-White_Male                (9) | Val  Loss: 1.9363 | Val  Acc: 0.2400
 Site-White_Female              (1) | Val  Loss: 1.7794 | Val  Acc: 0.3804
 Site-White_Male                (9) | Val  Loss: 1.8611 | Val  Acc: 0.2694
 Site-White_Female              (1) | Val  Loss: 1.7802 | Val  Acc: 0.3605
 Site-Latino_Hispanic_Male      (9) | Val  Loss: 2.0453 | Val  Acc: 0.3571
 Site-Latino_Hispanic_Female    (7) | Val  Loss: 1.9617 | Val  Acc: 0.2439
 Site-Latino_Hispanic_Male      (2) | Val  Loss: 1.8405 | Val  Acc: 0.2667
 Site-Latino_Hispanic_Female    (7) | Val  Loss: 1.9308 | Val  Acc: 0.2584
 Site-Latino_Hispanic_Male      (2) | Val  Loss: 1.7844 | Val  Acc: 0.2290
 Site-Latino_Hispanic_Female    (7) | Val  Loss: 1.7317 | Val  Acc: 0.2642
 Site-Latino_Hispanic_Male      (3) | Val  Loss: 1.9137 | Val  Acc: 0.2266
 Site-Black_Female              (0) | Val  Loss: 2.0005 | Val  Acc: 0.2667
 Site-Black_Male                (2) | Val  Loss: 2.3703 | Val  Acc: 0.2576
 Site-Black_Female              (4) | Val  Loss: 1.9297 | Val  Acc: 0.3196
 Site-Black_Male                (2) | Val  Loss: 1.7368 | Val  Acc: 0.2657
 Site-Black_Female              (4) | Val  Loss: 1.8355 | Val  Acc: 0.3081
 Site-East_Asian_Male           (3) | Val  Loss: 1.9674 | Val  Acc: 0.3171
 Site-East_Asian_Female         (7) | Val  Loss: 1.6870 | Val  Acc: 0.4545
 Site-East_Asian_Male           (3) | Val  Loss: 1.8821 | Val  Acc: 0.3371
 Site-Indian_Female             (4) | Val  Loss: 2.0466 | Val  Acc: 0.2762
 Site-Indian_Male               (2) | Val  Loss: 2.0008 | Val  Acc: 0.2323
 Site-Southeast_Asian_Female    (7) | Val  Loss: 2.0808 | Val  Acc: 0.2938
 Site-Middle_Eastern_Male       (9) | Val  Loss: 2.1456 | Val  Acc: 0.1667
Average Valid Accuracy: 0.2927
Aggregated Acc | Val Acc: 0.2897
 Best site-White_Male               (6)  | Epoch:2 | Val Acc: 0.5000
 Best site-White_Female             (8)  | Epoch:2 | Val Acc: 0.2222
 Best site-White_Male               (10) | Epoch:2 | Val Acc: 0.1923
 Best site-White_Female             (1)  | Epoch:2 | Val Acc: 0.3590
 Best site-White_Male               (5)  | Epoch:2 | Val Acc: 0.2241
 Best site-White_Female             (1)  | Epoch:2 | Val Acc: 0.4000
 Best site-White_Male               (9)  | Epoch:2 | Val Acc: 0.2400
 Best site-White_Female             (1)  | Epoch:2 | Val Acc: 0.3804
 Best site-White_Male               (9)  | Epoch:2 | Val Acc: 0.2694
 Best site-White_Female             (1)  | Epoch:2 | Val Acc: 0.3605
 Best site-Latino_Hispanic_Male     (9)  | Epoch:2 | Val Acc: 0.3571
 Best site-Latino_Hispanic_Female   (7)  | Epoch:2 | Val Acc: 0.2439
 Best site-Latino_Hispanic_Male     (2)  | Epoch:2 | Val Acc: 0.2667
 Best site-Latino_Hispanic_Female   (7)  | Epoch:2 | Val Acc: 0.2584
 Best site-Latino_Hispanic_Male     (2)  | Epoch:2 | Val Acc: 0.2290
 Best site-Latino_Hispanic_Female   (7)  | Epoch:2 | Val Acc: 0.2642
 Best site-Latino_Hispanic_Male     (3)  | Epoch:2 | Val Acc: 0.2266
 Best site-Black_Female             (0)  | Epoch:2 | Val Acc: 0.2667
 Best site-Black_Male               (2)  | Epoch:2 | Val Acc: 0.2576
 Best site-Black_Female             (4)  | Epoch:2 | Val Acc: 0.3196
 Best site-Black_Male               (2)  | Epoch:2 | Val Acc: 0.2657
 Best site-Black_Female             (4)  | Epoch:2 | Val Acc: 0.3081
 Best site-East_Asian_Male          (3)  | Epoch:2 | Val Acc: 0.3171
 Best site-East_Asian_Female        (7)  | Epoch:2 | Val Acc: 0.4545
 Best site-East_Asian_Male          (3)  | Epoch:2 | Val Acc: 0.3371
 Best site-Indian_Female            (4)  | Epoch:2 | Val Acc: 0.2762
 Best site-Indian_Male              (2)  | Epoch:2 | Val Acc: 0.2323
 Best site-Southeast_Asian_Female   (7)  | Epoch:2 | Val Acc: 0.2938
 Best site-Middle_Eastern_Male      (9)  | Epoch:2 | Val Acc: 0.1667
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_gender_cluster_11/ccop_q=1...
============ Train epoch 3 ============
cnt=[2, 3, 3, 8, 4, 1, 1, 2, 1, 1, 3, ]
power_decay: 0.9, powerI: 0.8280, powerC: 0.1720
sum of wi : 1.0000
 Site-White_Male               | Train Loss: 1.8392 | Train Acc: 0.3333
 Site-White_Female             | Train Loss: 1.7453 | Train Acc: 0.4074
 Site-White_Male               | Train Loss: 1.8534 | Train Acc: 0.3750
 Site-White_Female             | Train Loss: 1.6863 | Train Acc: 0.4138
