===2023-08-07 12:58:49===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 1.0672 | Train Acc: 0.8516
 Site-cartoon                       | Train Loss: 1.4333 | Train Acc: 0.6364
 Site-cartoon                       | Train Loss: 1.3917 | Train Acc: 0.6696
 Site-sketch                        | Train Loss: 1.7585 | Train Acc: 0.3276
Average Train Accuracy: 0.8567
 Site-photo                         | Val  Loss: 0.5353 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.6239 | Val  Acc: 0.9167
 Site-photo                         | Val  Loss: 0.4482 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.5177 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.5145 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4958 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 0.4367 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4726 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4973 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.5130 | Val  Acc: 0.9691
 Site-art_painting                  | Val  Loss: 1.0345 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 1.0937 | Val  Acc: 0.8667
 Site-art_painting                  | Val  Loss: 0.9907 | Val  Acc: 0.8846
 Site-art_painting                  | Val  Loss: 1.1041 | Val  Acc: 0.7872
 Site-art_painting                  | Val  Loss: 1.1050 | Val  Acc: 0.7765
 Site-cartoon                       | Val  Loss: 1.3869 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.3750 | Val  Acc: 0.6753
 Site-sketch                        | Val  Loss: 1.7461 | Val  Acc: 0.3333
Average Valid Accuracy: 0.8761
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 0.9167
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 0.9714
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 0.9691
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8667
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8846
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7872
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7765
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.6753
 Best site-sketch                    | Epoch:2 | Val Acc: 0.3333
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/fedsam...
============ Train epoch 3 ============
 Site-photo                         | Train Loss: 0.2554 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.3698 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4358 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2702 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 0.3075 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.3881 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.2358 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2687 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2837 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2983 | Train Acc: 1.0000
 Site-art_painting                  | Train Loss: 0.9324 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.0748 | Train Acc: 0.7273
 Site-art_painting                  | Train Loss: 1.0868 | Train Acc: 0.6750
 Site-art_painting                  | Train Loss: 0.8243 | Train Acc: 0.8611
 Site-art_painting                  | Train Loss: 0.9104 | Train Acc: 0.8516
 Site-cartoon                       | Train Loss: 1.3587 | Train Acc: 0.5455
 Site-cartoon                       | Train Loss: 1.2900 | Train Acc: 0.6696
 Site-sketch                        | Train Loss: 1.6480 | Train Acc: 0.4655
Average Train Accuracy: 0.8580
 Site-photo                         | Val  Loss: 0.4211 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3405 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2741 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3204 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3717 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 0.3043 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 0.2807 | Val  Acc: 0.9778
 Site-photo                         | Val  Loss: 0.2906 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3101 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3085 | Val  Acc: 0.9794
 Site-art_painting                  | Val  Loss: 0.8349 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 0.8823 | Val  Acc: 0.8667
 Site-art_painting                  | Val  Loss: 0.7821 | Val  Acc: 0.8846
 Site-art_painting                  | Val  Loss: 0.9292 | Val  Acc: 0.8085
 Site-art_painting                  | Val  Loss: 0.9107 | Val  Acc: 0.8235
 Site-cartoon                       | Val  Loss: 1.2448 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.2396 | Val  Acc: 0.7013
 Site-sketch                        | Val  Loss: 1.6465 | Val  Acc: 0.4615
Average Valid Accuracy: 0.8904
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 0.9630
 Best site-photo                     | Epoch:3 | Val Acc: 0.9714
 Best site-photo                     | Epoch:3 | Val Acc: 0.9778
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 0.9794
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8667
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8846
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8085
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8235
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.7013
 Best site-sketch                    | Epoch:3 | Val Acc: 0.4615
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/fedsam...
============ Train epoch 4 ============
 Site-photo                         | Train Loss: 0.1554 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2413 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.3244 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1207 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2439 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.2565 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.1498 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1544 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2153 | Train Acc: 0.9735
 Site-photo                         | Train Loss: 0.1784 | Train Acc: 1.0000
 Site-art_painting                  | Train Loss: 0.8472 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 1.0776 | Train Acc: 0.7727
 Site-art_painting                  | Train Loss: 0.9573 | Train Acc: 0.7750
 Site-art_painting                  | Train Loss: 0.7493 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.7795 | Train Acc: 0.8672
 Site-cartoon                       | Train Loss: 1.2633 | Train Acc: 0.7273
 Site-cartoon                       | Train Loss: 1.1597 | Train Acc: 0.7304
 Site-sketch                        | Train Loss: 1.5560 | Train Acc: 0.4655
Average Train Accuracy: 0.8869
 Site-photo                         | Val  Loss: 0.3726 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1784 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1675 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1966 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2297 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 0.1706 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 0.1810 | Val  Acc: 0.9778
 Site-photo                         | Val  Loss: 0.2048 | Val  Acc: 0.9828
 Site-photo                         | Val  Loss: 0.1635 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2129 | Val  Acc: 0.9794
 Site-art_painting                  | Val  Loss: 0.6559 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 0.7820 | Val  Acc: 0.8667
 Site-art_painting                  | Val  Loss: 0.7972 | Val  Acc: 0.7692
 Site-art_painting                  | Val  Loss: 0.8143 | Val  Acc: 0.8723
 Site-art_painting                  | Val  Loss: 0.7780 | Val  Acc: 0.8588
 Site-cartoon                       | Val  Loss: 1.2081 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.1628 | Val  Acc: 0.7532
 Site-sketch                        | Val  Loss: 1.5944 | Val  Acc: 0.4872
Average Valid Accuracy: 0.8928
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 0.9630
 Best site-photo                     | Epoch:4 | Val Acc: 0.9714
 Best site-photo                     | Epoch:4 | Val Acc: 0.9778
 Best site-photo                     | Epoch:4 | Val Acc: 0.9828
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 0.9794
 Best site-art_painting              | Epoch:4 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:4 | Val Acc: 0.8667
 Best site-art_painting              | Epoch:4 | Val Acc: 0.7692
 Best site-art_painting              | Epoch:4 | Val Acc: 0.8723
 Best site-art_painting              | Epoch:4 | Val Acc: 0.8588
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.7532
 Best site-sketch                    | Epoch:4 | Val Acc: 0.4872
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/fedsam...
============ Train epoch 5 ============
 Site-photo                         | Train Loss: 0.0818 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1335 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2077 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0827 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1627 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.1652 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1019 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1149 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1434 | Train Acc: 0.9823
 Site-photo                         | Train Loss: 0.1272 | Train Acc: 1.0000
 Site-art_painting                  | Train Loss: 0.8161 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 0.9301 | Train Acc: 0.8182
 Site-art_painting                  | Train Loss: 0.8469 | Train Acc: 0.7250
 Site-art_painting                  | Train Loss: 0.5321 | Train Acc: 0.9028
 Site-art_painting                  | Train Loss: 0.6877 | Train Acc: 0.8828
 Site-cartoon                       | Train Loss: 1.2517 | Train Acc: 0.5455
 Site-cartoon                       | Train Loss: 1.0680 | Train Acc: 0.7652
 Site-sketch                        | Train Loss: 1.5485 | Train Acc: 0.4310
Average Train Accuracy: 0.8752
 Site-photo                         | Val  Loss: 0.2011 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1935 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1006 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1411 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1940 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 0.1356 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 0.1068 | Val  Acc: 1.0000
