===2023-08-07 09:20:20===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Val  Loss: 0.5110 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.5198 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4792 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 0.4371 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4733 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.5016 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.5155 | Val  Acc: 0.9691
 Site-art_painting                  | Val  Loss: 1.0452 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 1.0986 | Val  Acc: 0.8000
 Site-art_painting                  | Val  Loss: 1.0075 | Val  Acc: 0.8846
 Site-art_painting                  | Val  Loss: 1.1385 | Val  Acc: 0.7660
 Site-art_painting                  | Val  Loss: 1.1402 | Val  Acc: 0.7529
 Site-cartoon                       | Val  Loss: 1.4026 | Val  Acc: 0.8571
 Site-cartoon                       | Val  Loss: 1.3863 | Val  Acc: 0.6234
 Site-sketch                        | Val  Loss: 1.7120 | Val  Acc: 0.4103
Average Valid Accuracy: 0.8792
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 0.9167
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 0.9714
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 0.9691
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8000
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8846
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7660
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7529
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.8571
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.6234
 Best site-sketch                    | Epoch:2 | Val Acc: 0.4103
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/harmo-fl...
============ Train epoch 3 ============
 Site-photo                         | Train Loss: 0.2499 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.3898 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4233 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2758 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 0.3225 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.3889 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.2434 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2713 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2830 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.3078 | Train Acc: 1.0000
 Site-art_painting                  | Train Loss: 0.9169 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.1094 | Train Acc: 0.7273
 Site-art_painting                  | Train Loss: 1.1118 | Train Acc: 0.7250
 Site-art_painting                  | Train Loss: 0.8806 | Train Acc: 0.8750
 Site-art_painting                  | Train Loss: 0.9155 | Train Acc: 0.8594
 Site-cartoon                       | Train Loss: 1.3557 | Train Acc: 0.6364
 Site-cartoon                       | Train Loss: 1.2510 | Train Acc: 0.7043
 Site-sketch                        | Train Loss: 1.6390 | Train Acc: 0.4828
Average Train Accuracy: 0.8699
 Site-photo                         | Val  Loss: 0.4028 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3310 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2718 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3185 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3788 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 0.3022 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 0.2764 | Val  Acc: 0.9778
 Site-photo                         | Val  Loss: 0.2943 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3173 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3197 | Val  Acc: 0.9794
