===2023-06-16 15:02:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
denominator: 40193.75
 Site-White-5                       | Val  Loss: 2.1380 | Val  Acc: 0.0769
 Site-White-6                       | Val  Loss: 2.1387 | Val  Acc: 0.1795
 Site-White-7                       | Val  Loss: 2.1362 | Val  Acc: 0.2069
 Site-White-8                       | Val  Loss: 2.1298 | Val  Acc: 0.2000
 Site-White-9                       | Val  Loss: 2.1231 | Val  Acc: 0.2720
 Site-Indian-0                      | Val  Loss: 2.2730 | Val  Acc: 0.0000
 Site-Indian-1                      | Val  Loss: 2.2202 | Val  Acc: 0.0000
 Site-Indian-2                      | Val  Loss: 2.1593 | Val  Acc: 0.2778
 Site-Indian-3                      | Val  Loss: 2.1780 | Val  Acc: 0.1481
 Site-Indian-4                      | Val  Loss: 2.1841 | Val  Acc: 0.1750
 Site-Middle_Eastern-0              | Val  Loss: 2.1484 | Val  Acc: 0.0909
 Site-Middle_Eastern-1              | Val  Loss: 2.1903 | Val  Acc: 0.1429
 Site-Black_utk-0                   | Val  Loss: 2.1621 | Val  Acc: 0.1579
Average Valid Accuracy: 0.1795
 Best site-White-0                   | Epoch:2 | Val Acc: 0.0000
 Best site-White-1                   | Epoch:2 | Val Acc: 0.4000
 Best site-White-2                   | Epoch:2 | Val Acc: 0.3750
 Best site-White-3                   | Epoch:2 | Val Acc: 0.2500
 Best site-White-4                   | Epoch:2 | Val Acc: 0.2778
 Best site-White-5                   | Epoch:2 | Val Acc: 0.0769
 Best site-White-6                   | Epoch:2 | Val Acc: 0.1795
 Best site-White-7                   | Epoch:2 | Val Acc: 0.2069
 Best site-White-8                   | Epoch:2 | Val Acc: 0.2000
 Best site-White-9                   | Epoch:2 | Val Acc: 0.2720
 Best site-Indian-0                  | Epoch:2 | Val Acc: 0.0000
 Best site-Indian-1                  | Epoch:2 | Val Acc: 0.0000
 Best site-Indian-2                  | Epoch:2 | Val Acc: 0.2778
 Best site-Indian-3                  | Epoch:2 | Val Acc: 0.1481
 Best site-Indian-4                  | Epoch:2 | Val Acc: 0.1750
 Best site-Middle_Eastern-0          | Epoch:2 | Val Acc: 0.0909
 Best site-Middle_Eastern-1          | Epoch:2 | Val Acc: 0.1429
 Best site-Black_utk-0               | Epoch:2 | Val Acc: 0.1579
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/q-ffl...
============ Train epoch 3 ============
denominator: 38532.94921875
 Site-White-0                       | Train Loss: 2.0978 | Train Acc: 0.2963
 Site-White-1                       | Train Loss: 2.1152 | Train Acc: 0.1795
 Site-White-2                       | Train Loss: 2.0914 | Train Acc: 0.3448
 Site-White-3                       | Train Loss: 2.0945 | Train Acc: 0.3023
 Site-White-4                       | Train Loss: 2.1024 | Train Acc: 0.2891
 Site-White-5                       | Train Loss: 2.1055 | Train Acc: 0.2500
 Site-White-6                       | Train Loss: 2.0973 | Train Acc: 0.2960
 Site-White-7                       | Train Loss: 2.0932 | Train Acc: 0.2850
 Site-White-8                       | Train Loss: 2.0997 | Train Acc: 0.2554
 Site-White-9                       | Train Loss: 2.0936 | Train Acc: 0.3053
 Site-Indian-0                      | Train Loss: 2.1511 | Train Acc: 0.2500
 Site-Indian-1                      | Train Loss: 2.1382 | Train Acc: 0.2360
 Site-Indian-2                      | Train Loss: 2.0919 | Train Acc: 0.2500
 Site-Indian-3                      | Train Loss: 2.1621 | Train Acc: 0.2423
 Site-Indian-4                      | Train Loss: 2.1459 | Train Acc: 0.2175
 Site-Middle_Eastern-0              | Train Loss: 2.1216 | Train Acc: 0.2340
 Site-Middle_Eastern-1              | Train Loss: 2.1206 | Train Acc: 0.2565
 Site-Black_utk-0                   | Train Loss: 2.1523 | Train Acc: 0.1889
