===2023-06-16 12:57:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
 Site-White-0                       | Val  Loss: 2.1000 | Val  Acc: 0.0000
 Site-White-1                       | Val  Loss: 1.6847 | Val  Acc: 0.2000
 Site-White-2                       | Val  Loss: 1.7416 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 1.8303 | Val  Acc: 0.1667
 Site-White-4                       | Val  Loss: 1.5511 | Val  Acc: 0.3889
 Site-White-5                       | Val  Loss: 1.7643 | Val  Acc: 0.3077
 Site-White-6                       | Val  Loss: 1.8474 | Val  Acc: 0.3333
 Site-White-7                       | Val  Loss: 1.8194 | Val  Acc: 0.3103
 Site-White-8                       | Val  Loss: 1.7753 | Val  Acc: 0.3529
 Site-White-9                       | Val  Loss: 1.6852 | Val  Acc: 0.3280
 Site-Indian-0                      | Val  Loss: 2.6387 | Val  Acc: 0.0000
 Site-Indian-1                      | Val  Loss: 2.5078 | Val  Acc: 0.0000
 Site-Indian-2                      | Val  Loss: 2.0289 | Val  Acc: 0.2778
 Site-Indian-3                      | Val  Loss: 2.0887 | Val  Acc: 0.2222
 Site-Indian-4                      | Val  Loss: 2.0466 | Val  Acc: 0.1750
 Site-Middle_Eastern-0              | Val  Loss: 1.9638 | Val  Acc: 0.2121
 Site-Middle_Eastern-1              | Val  Loss: 1.9693 | Val  Acc: 0.3061
 Site-Black_utk-0                   | Val  Loss: 1.8207 | Val  Acc: 0.3158
Average Valid Accuracy: 0.2304
============ Train epoch 3 ============
 Site-White-0                       | Train Loss: 1.7248 | Train Acc: 0.3704
 Site-White-1                       | Train Loss: 1.6483 | Train Acc: 0.5128
 Site-White-2                       | Train Loss: 1.7256 | Train Acc: 0.3276
 Site-White-3                       | Train Loss: 1.6149 | Train Acc: 0.3488
 Site-White-4                       | Train Loss: 1.6772 | Train Acc: 0.3750
 Site-White-5                       | Train Loss: 1.6734 | Train Acc: 0.3936
 Site-White-6                       | Train Loss: 1.6523 | Train Acc: 0.3863
 Site-White-7                       | Train Loss: 1.6135 | Train Acc: 0.3956
 Site-White-8                       | Train Loss: 1.6256 | Train Acc: 0.4090
 Site-White-9                       | Train Loss: 1.6051 | Train Acc: 0.4007
 Site-Indian-0                      | Train Loss: 1.7552 | Train Acc: 0.3333
 Site-Indian-1                      | Train Loss: 1.8635 | Train Acc: 0.3371
 Site-Indian-2                      | Train Loss: 1.7081 | Train Acc: 0.2652
 Site-Indian-3                      | Train Loss: 2.0639 | Train Acc: 0.2887
 Site-Indian-4                      | Train Loss: 1.7691 | Train Acc: 0.3579
 Site-Middle_Eastern-0              | Train Loss: 1.7196 | Train Acc: 0.3489
 Site-Middle_Eastern-1              | Train Loss: 1.7814 | Train Acc: 0.3372
 Site-Black_utk-0                   | Train Loss: 1.8361 | Train Acc: 0.2963
Average Train Accuracy: 0.3602
 Site-White-0                       | Val  Loss: 1.6480 | Val  Acc: 0.3333
 Site-White-1                       | Val  Loss: 1.6331 | Val  Acc: 0.2000
 Site-White-2                       | Val  Loss: 1.6277 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 1.7673 | Val  Acc: 0.3333
 Site-White-4                       | Val  Loss: 1.4228 | Val  Acc: 0.5556
 Site-White-5                       | Val  Loss: 1.7643 | Val  Acc: 0.3077
 Site-White-6                       | Val  Loss: 1.8093 | Val  Acc: 0.3333
 Site-White-7                       | Val  Loss: 1.7099 | Val  Acc: 0.3966
