===2023-06-16 12:56:37===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/fedavg...
============ Train epoch 2 ============
 Site-White-0                       | Train Loss: 2.0670 | Train Acc: 0.2963
 Site-White-1                       | Train Loss: 2.0699 | Train Acc: 0.3077
 Site-White-2                       | Train Loss: 2.0667 | Train Acc: 0.3448
 Site-White-3                       | Train Loss: 2.0440 | Train Acc: 0.3721
 Site-White-4                       | Train Loss: 2.0591 | Train Acc: 0.3281
 Site-White-5                       | Train Loss: 2.0650 | Train Acc: 0.2926
 Site-White-6                       | Train Loss: 2.0686 | Train Acc: 0.3394
 Site-White-7                       | Train Loss: 2.0603 | Train Acc: 0.3317
 Site-White-8                       | Train Loss: 2.0541 | Train Acc: 0.3189
 Site-White-9                       | Train Loss: 2.0492 | Train Acc: 0.3371
 Site-Indian-0                      | Train Loss: 2.1366 | Train Acc: 0.2333
 Site-Indian-1                      | Train Loss: 2.1023 | Train Acc: 0.2697
 Site-Indian-2                      | Train Loss: 2.1572 | Train Acc: 0.2879
 Site-Indian-3                      | Train Loss: 2.1270 | Train Acc: 0.2371
 Site-Indian-4                      | Train Loss: 2.1309 | Train Acc: 0.2386
 Site-Middle_Eastern-0              | Train Loss: 2.0923 | Train Acc: 0.2468
 Site-Middle_Eastern-1              | Train Loss: 2.0887 | Train Acc: 0.2767
 Site-Black_utk-0                   | Train Loss: 2.1340 | Train Acc: 0.2111
Average Train Accuracy: 0.2928
 Site-White-0                       | Val  Loss: 2.0897 | Val  Acc: 0.0000
 Site-White-1                       | Val  Loss: 1.9940 | Val  Acc: 0.4000
 Site-White-2                       | Val  Loss: 2.0565 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 2.0643 | Val  Acc: 0.3333
 Site-White-4                       | Val  Loss: 2.0281 | Val  Acc: 0.3889
 Site-White-5                       | Val  Loss: 2.0690 | Val  Acc: 0.2692
 Site-White-6                       | Val  Loss: 2.0715 | Val  Acc: 0.2821
 Site-White-7                       | Val  Loss: 2.0715 | Val  Acc: 0.2931
 Site-White-8                       | Val  Loss: 2.0727 | Val  Acc: 0.2588
 Site-White-9                       | Val  Loss: 2.0403 | Val  Acc: 0.3600
 Site-Indian-0                      | Val  Loss: 2.2886 | Val  Acc: 0.0000
 Site-Indian-1                      | Val  Loss: 2.2339 | Val  Acc: 0.0833
 Site-Indian-2                      | Val  Loss: 2.1169 | Val  Acc: 0.1667
 Site-Indian-3                      | Val  Loss: 2.1349 | Val  Acc: 0.2222
 Site-Indian-4                      | Val  Loss: 2.1581 | Val  Acc: 0.1500
 Site-Middle_Eastern-0              | Val  Loss: 2.1036 | Val  Acc: 0.1515
 Site-Middle_Eastern-1              | Val  Loss: 2.1499 | Val  Acc: 0.1429
 Site-Black_utk-0                   | Val  Loss: 2.1102 | Val  Acc: 0.1842
Average Valid Accuracy: 0.2187
 Best site-White-0                   | Epoch:2 | Val Acc: 0.0000
 Best site-White-1                   | Epoch:2 | Val Acc: 0.4000
 Best site-White-2                   | Epoch:2 | Val Acc: 0.2500
 Best site-White-3                   | Epoch:2 | Val Acc: 0.3333
 Best site-White-4                   | Epoch:2 | Val Acc: 0.3889
 Best site-White-5                   | Epoch:2 | Val Acc: 0.2692
 Best site-White-6                   | Epoch:2 | Val Acc: 0.2821
 Best site-White-7                   | Epoch:2 | Val Acc: 0.2931
 Best site-White-8                   | Epoch:2 | Val Acc: 0.2588
 Best site-White-9                   | Epoch:2 | Val Acc: 0.3600
 Best site-Indian-0                  | Epoch:2 | Val Acc: 0.0000
 Best site-Indian-1                  | Epoch:2 | Val Acc: 0.0833
 Best site-Indian-2                  | Epoch:2 | Val Acc: 0.1667
 Best site-Indian-3                  | Epoch:2 | Val Acc: 0.2222
 Best site-Indian-4                  | Epoch:2 | Val Acc: 0.1500
 Best site-Middle_Eastern-0          | Epoch:2 | Val Acc: 0.1515
 Best site-Middle_Eastern-1          | Epoch:2 | Val Acc: 0.1429
 Best site-Black_utk-0               | Epoch:2 | Val Acc: 0.1842
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/fedavg...
============ Train epoch 3 ============
 Site-White-0                       | Train Loss: 2.0245 | Train Acc: 0.2963
 Site-White-1                       | Train Loss: 2.0188 | Train Acc: 0.3077
 Site-White-2                       | Train Loss: 2.0146 | Train Acc: 0.3276
 Site-White-3                       | Train Loss: 2.0012 | Train Acc: 0.4070
 Site-White-4                       | Train Loss: 2.0112 | Train Acc: 0.3750
 Site-White-5                       | Train Loss: 2.0189 | Train Acc: 0.3191
 Site-White-6                       | Train Loss: 2.0065 | Train Acc: 0.3466
 Site-White-7                       | Train Loss: 1.9961 | Train Acc: 0.3366
 Site-White-8                       | Train Loss: 2.0088 | Train Acc: 0.3356
 Site-White-9                       | Train Loss: 2.0013 | Train Acc: 0.3553
 Site-Indian-0                      | Train Loss: 2.0947 | Train Acc: 0.2500
 Site-Indian-1                      | Train Loss: 2.0856 | Train Acc: 0.2584
 Site-Indian-2                      | Train Loss: 1.9930 | Train Acc: 0.2500
 Site-Indian-3                      | Train Loss: 2.1241 | Train Acc: 0.2629
 Site-Indian-4                      | Train Loss: 2.0953 | Train Acc: 0.2316
 Site-Middle_Eastern-0              | Train Loss: 2.0589 | Train Acc: 0.2468
 Site-Middle_Eastern-1              | Train Loss: 2.0574 | Train Acc: 0.2594
 Site-Black_utk-0                   | Train Loss: 2.1052 | Train Acc: 0.2444
Average Train Accuracy: 0.3006
 Site-White-0                       | Val  Loss: 2.0664 | Val  Acc: 0.0000
 Site-White-1                       | Val  Loss: 1.9276 | Val  Acc: 0.6000
 Site-White-2                       | Val  Loss: 2.0575 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 2.0267 | Val  Acc: 0.3333
 Site-White-4                       | Val  Loss: 1.9580 | Val  Acc: 0.3889
 Site-White-5                       | Val  Loss: 2.0439 | Val  Acc: 0.2692
 Site-White-6                       | Val  Loss: 2.0289 | Val  Acc: 0.3333
 Site-White-7                       | Val  Loss: 2.0222 | Val  Acc: 0.3448
 Site-White-8                       | Val  Loss: 2.0443 | Val  Acc: 0.2588
 Site-White-9                       | Val  Loss: 1.9905 | Val  Acc: 0.3440
 Site-Indian-0                      | Val  Loss: 2.2897 | Val  Acc: 0.0000
 Site-Indian-1                      | Val  Loss: 2.2211 | Val  Acc: 0.0000
 Site-Indian-2                      | Val  Loss: 2.0892 | Val  Acc: 0.2222
 Site-Indian-3                      | Val  Loss: 2.1040 | Val  Acc: 0.2963
 Site-Indian-4                      | Val  Loss: 2.1280 | Val  Acc: 0.1750
 Site-Middle_Eastern-0              | Val  Loss: 2.0544 | Val  Acc: 0.3333
 Site-Middle_Eastern-1              | Val  Loss: 2.1215 | Val  Acc: 0.1429
 Site-Black_utk-0                   | Val  Loss: 2.0730 | Val  Acc: 0.2895
Average Valid Accuracy: 0.2545
 Best site-White-0                   | Epoch:3 | Val Acc: 0.0000
 Best site-White-1                   | Epoch:3 | Val Acc: 0.6000
 Best site-White-2                   | Epoch:3 | Val Acc: 0.2500
 Best site-White-3                   | Epoch:3 | Val Acc: 0.3333
 Best site-White-4                   | Epoch:3 | Val Acc: 0.3889
 Best site-White-5                   | Epoch:3 | Val Acc: 0.2692
 Best site-White-6                   | Epoch:3 | Val Acc: 0.3333
 Best site-White-7                   | Epoch:3 | Val Acc: 0.3448
 Best site-White-8                   | Epoch:3 | Val Acc: 0.2588
 Best site-White-9                   | Epoch:3 | Val Acc: 0.3440
 Best site-Indian-0                  | Epoch:3 | Val Acc: 0.0000
 Best site-Indian-1                  | Epoch:3 | Val Acc: 0.0000
 Best site-Indian-2                  | Epoch:3 | Val Acc: 0.2222
 Best site-Indian-3                  | Epoch:3 | Val Acc: 0.2963
 Best site-Indian-4                  | Epoch:3 | Val Acc: 0.1750
 Best site-Middle_Eastern-0          | Epoch:3 | Val Acc: 0.3333
 Best site-Middle_Eastern-1          | Epoch:3 | Val Acc: 0.1429
