===2023-08-10 17:21:10===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 1.8734 | Train Acc: 0.3333
 Site-art_painting                  | Train Loss: 1.8664 | Train Acc: 0.4545
 Site-art_painting                  | Train Loss: 1.8646 | Train Acc: 0.4250
 Site-art_painting                  | Train Loss: 1.8774 | Train Acc: 0.4444
 Site-art_painting                  | Train Loss: 1.8459 | Train Acc: 0.4297
 Site-cartoon                       | Train Loss: 1.8164 | Train Acc: 0.7273
 Site-cartoon                       | Train Loss: 1.8676 | Train Acc: 0.3478
 Site-sketch                        | Train Loss: 1.9556 | Train Acc: 0.2586
Average Train Accuracy: 0.6655
 Site-photo                         | Val  Loss: 1.8071 | Val  Acc: 0.6667
 Site-photo                         | Val  Loss: 1.7595 | Val  Acc: 0.7500
 Site-photo                         | Val  Loss: 1.7194 | Val  Acc: 0.7500
 Site-photo                         | Val  Loss: 1.6767 | Val  Acc: 0.9048
 Site-photo                         | Val  Loss: 1.7183 | Val  Acc: 0.8148
 Site-photo                         | Val  Loss: 1.7039 | Val  Acc: 0.8571
 Site-photo                         | Val  Loss: 1.6803 | Val  Acc: 0.7778
 Site-photo                         | Val  Loss: 1.6723 | Val  Acc: 0.8448
 Site-photo                         | Val  Loss: 1.6960 | Val  Acc: 0.9067
 Site-photo                         | Val  Loss: 1.6950 | Val  Acc: 0.7835
 Site-art_painting                  | Val  Loss: 1.8626 | Val  Acc: 0.3750
 Site-art_painting                  | Val  Loss: 1.8327 | Val  Acc: 0.4667
 Site-art_painting                  | Val  Loss: 1.8682 | Val  Acc: 0.3846
 Site-art_painting                  | Val  Loss: 1.8491 | Val  Acc: 0.5106
 Site-art_painting                  | Val  Loss: 1.8705 | Val  Acc: 0.4824
 Site-cartoon                       | Val  Loss: 1.8286 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.8679 | Val  Acc: 0.3896
 Site-sketch                        | Val  Loss: 1.9379 | Val  Acc: 0.1538
Average Valid Accuracy: 0.6407
 Best site-photo                     | Epoch:3 | Val Acc: 0.6667
 Best site-photo                     | Epoch:3 | Val Acc: 0.7500
 Best site-photo                     | Epoch:3 | Val Acc: 0.7500
 Best site-photo                     | Epoch:3 | Val Acc: 0.9048
 Best site-photo                     | Epoch:3 | Val Acc: 0.8148
 Best site-photo                     | Epoch:3 | Val Acc: 0.8571
 Best site-photo                     | Epoch:3 | Val Acc: 0.7778
 Best site-photo                     | Epoch:3 | Val Acc: 0.8448
 Best site-photo                     | Epoch:3 | Val Acc: 0.9067
 Best site-photo                     | Epoch:3 | Val Acc: 0.7835
 Best site-art_painting              | Epoch:3 | Val Acc: 0.3750
 Best site-art_painting              | Epoch:3 | Val Acc: 0.4667
 Best site-art_painting              | Epoch:3 | Val Acc: 0.3846
 Best site-art_painting              | Epoch:3 | Val Acc: 0.5106
 Best site-art_painting              | Epoch:3 | Val Acc: 0.4824
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.3896
 Best site-sketch                    | Epoch:3 | Val Acc: 0.1538
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedavg...
============ Train epoch 4 ============
 Site-photo                         | Train Loss: 1.6249 | Train Acc: 0.9286
 Site-photo                         | Train Loss: 1.6549 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 1.6460 | Train Acc: 0.9167
 Site-photo                         | Train Loss: 1.6216 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 1.6396 | Train Acc: 0.8750
 Site-photo                         | Train Loss: 1.6397 | Train Acc: 0.8462
 Site-photo                         | Train Loss: 1.6146 | Train Acc: 0.9265
 Site-photo                         | Train Loss: 1.5992 | Train Acc: 0.8750
 Site-photo                         | Train Loss: 1.6351 | Train Acc: 0.9204
 Site-photo                         | Train Loss: 1.6450 | Train Acc: 0.8904
 Site-art_painting                  | Train Loss: 1.8328 | Train Acc: 0.3333
 Site-art_painting                  | Train Loss: 1.8630 | Train Acc: 0.4091
 Site-art_painting                  | Train Loss: 1.8393 | Train Acc: 0.4750
 Site-art_painting                  | Train Loss: 1.8454 | Train Acc: 0.5139
 Site-art_painting                  | Train Loss: 1.8146 | Train Acc: 0.5000
 Site-cartoon                       | Train Loss: 1.7772 | Train Acc: 0.7273
 Site-cartoon                       | Train Loss: 1.8380 | Train Acc: 0.4261
 Site-sketch                        | Train Loss: 1.9453 | Train Acc: 0.2069
Average Train Accuracy: 0.7046
 Site-photo                         | Val  Loss: 1.7350 | Val  Acc: 0.7778
 Site-photo                         | Val  Loss: 1.6982 | Val  Acc: 0.9167
 Site-photo                         | Val  Loss: 1.6580 | Val  Acc: 0.8750
 Site-photo                         | Val  Loss: 1.6021 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.6482 | Val  Acc: 0.9259
 Site-photo                         | Val  Loss: 1.6379 | Val  Acc: 0.8857
 Site-photo                         | Val  Loss: 1.6169 | Val  Acc: 0.8444
 Site-photo                         | Val  Loss: 1.6186 | Val  Acc: 0.8793
 Site-photo                         | Val  Loss: 1.6377 | Val  Acc: 0.9067
 Site-photo                         | Val  Loss: 1.6198 | Val  Acc: 0.8763
 Site-art_painting                  | Val  Loss: 1.8447 | Val  Acc: 0.2500
 Site-art_painting                  | Val  Loss: 1.7783 | Val  Acc: 0.4667
 Site-art_painting                  | Val  Loss: 1.8081 | Val  Acc: 0.5385
 Site-art_painting                  | Val  Loss: 1.8176 | Val  Acc: 0.5532
 Site-art_painting                  | Val  Loss: 1.8390 | Val  Acc: 0.5412
 Site-cartoon                       | Val  Loss: 1.7670 | Val  Acc: 0.8571
 Site-cartoon                       | Val  Loss: 1.8373 | Val  Acc: 0.4416
 Site-sketch                        | Val  Loss: 1.9375 | Val  Acc: 0.1538
Average Valid Accuracy: 0.7050
 Best site-photo                     | Epoch:4 | Val Acc: 0.7778
 Best site-photo                     | Epoch:4 | Val Acc: 0.9167
 Best site-photo                     | Epoch:4 | Val Acc: 0.8750
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 0.9259
 Best site-photo                     | Epoch:4 | Val Acc: 0.8857
 Best site-photo                     | Epoch:4 | Val Acc: 0.8444
 Best site-photo                     | Epoch:4 | Val Acc: 0.8793
 Best site-photo                     | Epoch:4 | Val Acc: 0.9067
 Best site-photo                     | Epoch:4 | Val Acc: 0.8763
 Best site-art_painting              | Epoch:4 | Val Acc: 0.2500
 Best site-art_painting              | Epoch:4 | Val Acc: 0.4667
 Best site-art_painting              | Epoch:4 | Val Acc: 0.5385
 Best site-art_painting              | Epoch:4 | Val Acc: 0.5532
 Best site-art_painting              | Epoch:4 | Val Acc: 0.5412
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.8571
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.4416
 Best site-sketch                    | Epoch:4 | Val Acc: 0.1538
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedavg...
============ Train epoch 5 ============
 Site-photo                         | Train Loss: 1.5461 | Train Acc: 0.9286
 Site-photo                         | Train Loss: 1.5988 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 1.5785 | Train Acc: 0.9167
 Site-photo                         | Train Loss: 1.5673 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 1.5743 | Train Acc: 0.9250
 Site-photo                         | Train Loss: 1.5825 | Train Acc: 0.8654
 Site-photo                         | Train Loss: 1.5415 | Train Acc: 0.9265
 Site-photo                         | Train Loss: 1.5555 | Train Acc: 0.9318
