===2023-08-04 09:25:53===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedmix...
============ Train epoch 2 ============
 Site-amazon                        | Train Loss: 3.1968 | Train Acc: 0.5714
 Site-amazon                        | Train Loss: 3.1162 | Train Acc: 0.7838
 Site-amazon                        | Train Loss: 3.1253 | Train Acc: 0.7447
 Site-amazon                        | Train Loss: 3.1224 | Train Acc: 0.6885
 Site-amazon                        | Train Loss: 3.1162 | Train Acc: 0.6962
 Site-amazon                        | Train Loss: 3.1358 | Train Acc: 0.6990
 Site-amazon                        | Train Loss: 3.1149 | Train Acc: 0.6617
 Site-amazon                        | Train Loss: 3.1366 | Train Acc: 0.6453
 Site-amazon                        | Train Loss: 3.1351 | Train Acc: 0.6757
 Site-amazon                        | Train Loss: 3.1349 | Train Acc: 0.7073
 Site-webcam                        | Train Loss: 3.1760 | Train Acc: 0.5000
 Site-webcam                        | Train Loss: 3.2062 | Train Acc: 0.4595
 Site-webcam                        | Train Loss: 3.1671 | Train Acc: 0.6364
 Site-webcam                        | Train Loss: 3.1369 | Train Acc: 0.6386
 Site-webcam                        | Train Loss: 3.1920 | Train Acc: 0.5726
 Site-dslr                          | Train Loss: 3.2050 | Train Acc: 0.5200
 Site-dslr                          | Train Loss: 3.1571 | Train Acc: 0.6800
 Site-synthetic                     | Train Loss: 3.2228 | Train Acc: 0.2174
Average Train Accuracy: 0.6166
 Site-amazon                        | Val  Loss: 3.0826 | Val  Acc: 0.6842
 Site-amazon                        | Val  Loss: 3.1009 | Val  Acc: 0.8333
 Site-amazon                        | Val  Loss: 3.1422 | Val  Acc: 0.6129
 Site-amazon                        | Val  Loss: 3.1608 | Val  Acc: 0.6098
 Site-amazon                        | Val  Loss: 3.1699 | Val  Acc: 0.6038
 Site-amazon                        | Val  Loss: 3.0928 | Val  Acc: 0.7941
 Site-amazon                        | Val  Loss: 3.1232 | Val  Acc: 0.7273
 Site-amazon                        | Val  Loss: 3.1510 | Val  Acc: 0.6140
 Site-amazon                        | Val  Loss: 3.1388 | Val  Acc: 0.6824
 Site-amazon                        | Val  Loss: 3.1405 | Val  Acc: 0.6492
 Site-webcam                        | Val  Loss: 3.2147 | Val  Acc: 0.5625
 Site-webcam                        | Val  Loss: 3.1809 | Val  Acc: 0.6667
 Site-webcam                        | Val  Loss: 3.1734 | Val  Acc: 0.6486
 Site-webcam                        | Val  Loss: 3.1721 | Val  Acc: 0.6909
 Site-webcam                        | Val  Loss: 3.1548 | Val  Acc: 0.6707
 Site-dslr                          | Val  Loss: 3.1426 | Val  Acc: 0.7273
 Site-dslr                          | Val  Loss: 3.1708 | Val  Acc: 0.6061
 Site-synthetic                     | Val  Loss: 3.2904 | Val  Acc: 0.3043
Average Valid Accuracy: 0.6493
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6842
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8333
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6129
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6098
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6038
 Best site-amazon                    | Epoch:2 | Val Acc: 0.7941
 Best site-amazon                    | Epoch:2 | Val Acc: 0.7273
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6140
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6824
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6492
 Best site-webcam                    | Epoch:2 | Val Acc: 0.5625
 Best site-webcam                    | Epoch:2 | Val Acc: 0.6667
 Best site-webcam                    | Epoch:2 | Val Acc: 0.6486
 Best site-webcam                    | Epoch:2 | Val Acc: 0.6909
 Best site-webcam                    | Epoch:2 | Val Acc: 0.6707
 Best site-dslr                      | Epoch:2 | Val Acc: 0.7273
 Best site-dslr                      | Epoch:2 | Val Acc: 0.6061
 Best site-synthetic                 | Epoch:2 | Val Acc: 0.3043
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedmix...
============ Train epoch 3 ============
