===2023-08-03 21:55:51===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[20,26,34,44,57,73,95,123,159,205,18,32,57,101,180,13,131,67,
client_nums=[10,5,2,1,]
len_dataset=[1403,649,243,112,]
domain number = 4
============ Train epoch 0 ============
 Site-synthetic                     | Train Loss: 2.4994 | Train Acc: 0.4035
 Site-synthetic                     | Train Loss: 2.3508 | Train Acc: 0.5842
 Site-synthetic                     | Train Loss: 2.3018 | Train Acc: 0.5278
 Site-dslr                          | Train Loss: 1.6052 | Train Acc: 0.8462
 Site-dslr                          | Train Loss: 1.6200 | Train Acc: 0.9084
 Site-webcam                        | Train Loss: 1.4278 | Train Acc: 0.8507
Average Train Accuracy: 0.7851
 Site-amazon                        | Val  Loss: 1.1729 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 1.3951 | Val  Acc: 0.9412
 Site-amazon                        | Val  Loss: 1.4096 | Val  Acc: 0.9545
 Site-amazon                        | Val  Loss: 1.3898 | Val  Acc: 0.9310
 Site-amazon                        | Val  Loss: 1.4649 | Val  Acc: 0.9474
 Site-amazon                        | Val  Loss: 1.6100 | Val  Acc: 0.8367
 Site-amazon                        | Val  Loss: 1.4324 | Val  Acc: 0.9206
 Site-amazon                        | Val  Loss: 1.4047 | Val  Acc: 0.9024
 Site-amazon                        | Val  Loss: 1.4985 | Val  Acc: 0.8868
 Site-amazon                        | Val  Loss: 1.6251 | Val  Acc: 0.8759
 Site-synthetic                     | Val  Loss: 2.5598 | Val  Acc: 0.4167
 Site-synthetic                     | Val  Loss: 2.5702 | Val  Acc: 0.3810
 Site-synthetic                     | Val  Loss: 2.2523 | Val  Acc: 0.4865
 Site-synthetic                     | Val  Loss: 2.2960 | Val  Acc: 0.4627
 Site-synthetic                     | Val  Loss: 2.3411 | Val  Acc: 0.5500
 Site-dslr                          | Val  Loss: 1.6751 | Val  Acc: 0.8750
 Site-dslr                          | Val  Loss: 1.7847 | Val  Acc: 0.8750
 Site-webcam                        | Val  Loss: 1.8110 | Val  Acc: 0.8182
Average Valid Accuracy: 0.7812
 Best site-amazon                    | Epoch:2 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:2 | Val Acc: 0.9412
 Best site-amazon                    | Epoch:2 | Val Acc: 0.9545
 Best site-amazon                    | Epoch:2 | Val Acc: 0.9310
 Best site-amazon                    | Epoch:2 | Val Acc: 0.9474
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8367
 Best site-amazon                    | Epoch:2 | Val Acc: 0.9206
 Best site-amazon                    | Epoch:2 | Val Acc: 0.9024
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8868
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8759
 Best site-synthetic                 | Epoch:2 | Val Acc: 0.4167
 Best site-synthetic                 | Epoch:2 | Val Acc: 0.3810
 Best site-synthetic                 | Epoch:2 | Val Acc: 0.4865
 Best site-synthetic                 | Epoch:2 | Val Acc: 0.4627
 Best site-synthetic                 | Epoch:2 | Val Acc: 0.5500
 Best site-dslr                      | Epoch:2 | Val Acc: 0.8750
 Best site-dslr                      | Epoch:2 | Val Acc: 0.8750
 Best site-webcam                    | Epoch:2 | Val Acc: 0.8182
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/harmo-fl...
============ Train epoch 3 ============
 Site-amazon                        | Train Loss: 0.8520 | Train Acc: 0.9500
 Site-amazon                        | Train Loss: 1.1872 | Train Acc: 0.8846
 Site-amazon                        | Train Loss: 1.3029 | Train Acc: 0.9118
 Site-amazon                        | Train Loss: 1.0918 | Train Acc: 0.9091
