===2023-08-04 15:28:11===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Best site-webcam                    | Epoch:2 | Val Acc: 0.5455
 Best site-webcam                    | Epoch:2 | Val Acc: 0.6707
 Best site-dslr                      | Epoch:2 | Val Acc: 0.6667
 Best site-dslr                      | Epoch:2 | Val Acc: 0.7121
 Best site-synthetic                 | Epoch:2 | Val Acc: 0.2174
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/term...
============ Train epoch 3 ============
 Site-amazon                        | Train Loss: 3.0891 | Train Acc: 0.6429
 Site-amazon                        | Train Loss: 3.0171 | Train Acc: 0.8649
 Site-amazon                        | Train Loss: 3.0206 | Train Acc: 0.8511
 Site-amazon                        | Train Loss: 3.0393 | Train Acc: 0.7705
 Site-amazon                        | Train Loss: 3.0386 | Train Acc: 0.8101
 Site-amazon                        | Train Loss: 3.0289 | Train Acc: 0.8155
 Site-amazon                        | Train Loss: 3.0518 | Train Acc: 0.7820
 Site-amazon                        | Train Loss: 3.0385 | Train Acc: 0.7733
 Site-amazon                        | Train Loss: 3.0283 | Train Acc: 0.8108
 Site-amazon                        | Train Loss: 3.0431 | Train Acc: 0.7840
 Site-webcam                        | Train Loss: 3.1045 | Train Acc: 0.6667
 Site-webcam                        | Train Loss: 3.1105 | Train Acc: 0.6216
 Site-webcam                        | Train Loss: 3.0912 | Train Acc: 0.6909
 Site-webcam                        | Train Loss: 3.0568 | Train Acc: 0.8193
 Site-webcam                        | Train Loss: 3.1178 | Train Acc: 0.7016
 Site-dslr                          | Train Loss: 3.1399 | Train Acc: 0.6600
 Site-dslr                          | Train Loss: 3.0765 | Train Acc: 0.7100
 Site-synthetic                     | Train Loss: 3.3120 | Train Acc: 0.2754
Average Train Accuracy: 0.7250
 Site-amazon                        | Val  Loss: 2.9944 | Val  Acc: 0.8421
 Site-amazon                        | Val  Loss: 3.0025 | Val  Acc: 0.7917
 Site-amazon                        | Val  Loss: 3.0482 | Val  Acc: 0.7419
 Site-amazon                        | Val  Loss: 3.0721 | Val  Acc: 0.8049
 Site-amazon                        | Val  Loss: 3.0606 | Val  Acc: 0.7736
 Site-amazon                        | Val  Loss: 2.9818 | Val  Acc: 0.8676
 Site-amazon                        | Val  Loss: 3.0237 | Val  Acc: 0.7955
 Site-amazon                        | Val  Loss: 3.0544 | Val  Acc: 0.7281
 Site-amazon                        | Val  Loss: 3.0319 | Val  Acc: 0.7905
 Site-amazon                        | Val  Loss: 3.0469 | Val  Acc: 0.7592
 Site-webcam                        | Val  Loss: 3.0778 | Val  Acc: 0.6875
