===2023-08-06 11:58:56===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 20
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,51,67,86,111,144,17,24,33,46,64,89,124,20,31,46,69,104,32,56,97,42,84,85,58,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[986,670,456,310,211,143,97,]
domain number = 7
============ Train epoch 0 ============
 Best site-Product                   | Epoch:3 | Val Acc: 0.7273
 Best site-Product                   | Epoch:3 | Val Acc: 0.5625
 Best site-Product                   | Epoch:3 | Val Acc: 0.6818
 Best site-Product                   | Epoch:3 | Val Acc: 0.6774
 Best site-Product                   | Epoch:3 | Val Acc: 0.6512
 Best site-Product                   | Epoch:3 | Val Acc: 0.6271
 Best site-Product                   | Epoch:3 | Val Acc: 0.5122
 Best site-amazon                    | Epoch:3 | Val Acc: 0.6154
 Best site-amazon                    | Epoch:3 | Val Acc: 0.6500
 Best site-amazon                    | Epoch:3 | Val Acc: 0.4516
 Best site-amazon                    | Epoch:3 | Val Acc: 0.6087
 Best site-amazon                    | Epoch:3 | Val Acc: 0.5507
 Best site-webcam                    | Epoch:3 | Val Acc: 0.6190
 Best site-webcam                    | Epoch:3 | Val Acc: 0.6216
 Best site-webcam                    | Epoch:3 | Val Acc: 0.6406
 Best site-Art                       | Epoch:3 | Val Acc: 0.5000
 Best site-Art                       | Epoch:3 | Val Acc: 0.5714
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.4386
 Best site-dslr                      | Epoch:3 | Val Acc: 0.5789
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedmix...
============ Train epoch 4 ============
 Site-RealWorld                     | Train Loss: 2.7502 | Train Acc: 0.6429
 Site-RealWorld                     | Train Loss: 2.7927 | Train Acc: 0.3889
 Site-RealWorld                     | Train Loss: 2.7568 | Train Acc: 0.5833
 Site-RealWorld                     | Train Loss: 2.7125 | Train Acc: 0.7742
 Site-RealWorld                     | Train Loss: 2.7130 | Train Acc: 0.6750
 Site-RealWorld                     | Train Loss: 2.7344 | Train Acc: 0.6863
 Site-RealWorld                     | Train Loss: 2.7573 | Train Acc: 0.6119
 Site-RealWorld                     | Train Loss: 2.7207 | Train Acc: 0.6512
 Site-RealWorld                     | Train Loss: 2.7294 | Train Acc: 0.6847
 Site-RealWorld                     | Train Loss: 2.7016 | Train Acc: 0.7569
 Site-Product                       | Train Loss: 2.6733 | Train Acc: 0.8235
 Site-Product                       | Train Loss: 2.7631 | Train Acc: 0.7083
 Site-Product                       | Train Loss: 2.7480 | Train Acc: 0.6364
 Site-Product                       | Train Loss: 2.7206 | Train Acc: 0.6522
 Site-Product                       | Train Loss: 2.6972 | Train Acc: 0.7344
 Site-Product                       | Train Loss: 2.6795 | Train Acc: 0.6292
 Site-Product                       | Train Loss: 2.7263 | Train Acc: 0.6048
 Site-amazon                        | Train Loss: 2.7156 | Train Acc: 0.5500
