===2023-08-05 13:36:43===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 10
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,10,13,17,22,29,37,48,63,81,8,11,16,22,30,42,58,9,14,22,32,49,15,26,45,19,39,40,27,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[555,317,215,146,99,67,45,]
domain number = 7
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 1.6943 | Train Acc: 0.7692
 Site-dslr                          | Train Loss: 1.5602 | Train Acc: 0.8750
 Site-Product                       | Train Loss: 1.5617 | Train Acc: 0.7407
Average Train Accuracy: 0.7998
 Site-amazon                        | Val  Loss: 1.5355 | Val  Acc: 0.8000
 Site-amazon                        | Val  Loss: 1.5873 | Val  Acc: 0.7143
 Site-amazon                        | Val  Loss: 1.4633 | Val  Acc: 0.8889
 Site-amazon                        | Val  Loss: 1.5419 | Val  Acc: 0.7273
 Site-amazon                        | Val  Loss: 1.4613 | Val  Acc: 0.8667
 Site-amazon                        | Val  Loss: 1.5706 | Val  Acc: 0.7368
 Site-amazon                        | Val  Loss: 1.5893 | Val  Acc: 0.8800
 Site-amazon                        | Val  Loss: 1.4745 | Val  Acc: 0.8125
 Site-amazon                        | Val  Loss: 1.4937 | Val  Acc: 0.8333
 Site-amazon                        | Val  Loss: 1.5556 | Val  Acc: 0.7593
 Site-Art                           | Val  Loss: 1.6947 | Val  Acc: 0.6000
 Site-Art                           | Val  Loss: 1.5422 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 1.7632 | Val  Acc: 0.9000
 Site-Art                           | Val  Loss: 1.8937 | Val  Acc: 0.5714
 Site-Art                           | Val  Loss: 1.8932 | Val  Acc: 0.7500
 Site-Art                           | Val  Loss: 1.7893 | Val  Acc: 0.7857
 Site-Art                           | Val  Loss: 1.7701 | Val  Acc: 0.8684
 Site-RealWorld                     | Val  Loss: 1.5470 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.3718 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.6236 | Val  Acc: 0.7857
 Site-RealWorld                     | Val  Loss: 1.7030 | Val  Acc: 0.7143
 Site-RealWorld                     | Val  Loss: 1.5573 | Val  Acc: 0.9062
 Site-webcam                        | Val  Loss: 1.5924 | Val  Acc: 0.8000
 Site-webcam                        | Val  Loss: 1.5686 | Val  Acc: 0.8235
 Site-webcam                        | Val  Loss: 1.5173 | Val  Acc: 0.8667
 Site-Clipart                       | Val  Loss: 1.6808 | Val  Acc: 0.8462
 Site-Clipart                       | Val  Loss: 1.6218 | Val  Acc: 0.8462
 Site-dslr                          | Val  Loss: 1.6530 | Val  Acc: 0.8462
 Site-Product                       | Val  Loss: 1.5009 | Val  Acc: 0.8333
Average Valid Accuracy: 0.8145
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8000
 Best site-amazon                    | Epoch:1 | Val Acc: 0.7143
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8889
 Best site-amazon                    | Epoch:1 | Val Acc: 0.7273
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8667
 Best site-amazon                    | Epoch:1 | Val Acc: 0.7368
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8800
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8125
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8333
 Best site-amazon                    | Epoch:1 | Val Acc: 0.7593
 Best site-Art                       | Epoch:1 | Val Acc: 0.6000
 Best site-Art                       | Epoch:1 | Val Acc: 0.8571
 Best site-Art                       | Epoch:1 | Val Acc: 0.9000
 Best site-Art                       | Epoch:1 | Val Acc: 0.5714
 Best site-Art                       | Epoch:1 | Val Acc: 0.7500
 Best site-Art                       | Epoch:1 | Val Acc: 0.7857
 Best site-Art                       | Epoch:1 | Val Acc: 0.8684
 Best site-RealWorld                 | Epoch:1 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:1 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.7857
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.7143
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.9062
 Best site-webcam                    | Epoch:1 | Val Acc: 0.8000
 Best site-webcam                    | Epoch:1 | Val Acc: 0.8235
 Best site-webcam                    | Epoch:1 | Val Acc: 0.8667
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8462
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8462
 Best site-dslr                      | Epoch:1 | Val Acc: 0.8462
 Best site-Product                   | Epoch:1 | Val Acc: 0.8333
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/harmo-fl...
============ Train epoch 2 ============
 Site-amazon                        | Train Loss: 1.6108 | Train Acc: 0.5000
 Site-amazon                        | Train Loss: 1.2926 | Train Acc: 0.8000
 Site-amazon                        | Train Loss: 1.3531 | Train Acc: 0.7692
 Site-amazon                        | Train Loss: 1.1949 | Train Acc: 0.8824
 Site-amazon                        | Train Loss: 1.2210 | Train Acc: 0.8636
 Site-amazon                        | Train Loss: 1.2859 | Train Acc: 0.7931
 Site-amazon                        | Train Loss: 1.1936 | Train Acc: 0.8378
 Site-amazon                        | Train Loss: 1.2408 | Train Acc: 0.9375
 Site-amazon                        | Train Loss: 1.2521 | Train Acc: 0.8571
 Site-amazon                        | Train Loss: 1.2323 | Train Acc: 0.8642
 Site-Art                           | Train Loss: 1.6858 | Train Acc: 0.8750
 Site-Art                           | Train Loss: 1.5195 | Train Acc: 0.6364
 Site-Art                           | Train Loss: 1.6821 | Train Acc: 0.6875
 Site-Art                           | Train Loss: 1.5683 | Train Acc: 0.8182
 Site-Art                           | Train Loss: 1.5277 | Train Acc: 0.8333
