===2023-08-10 20:11:33===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.1778 | Train Acc: 1.0000
 Site-photo                         | Val  Loss: 0.7252 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.7756 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.8063 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.7972 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.7826 | Val  Acc: 0.9794
 Site-art_painting                  | Val  Loss: 1.3983 | Val  Acc: 0.5000
 Site-art_painting                  | Val  Loss: 1.3271 | Val  Acc: 0.8000
 Site-art_painting                  | Val  Loss: 1.3192 | Val  Acc: 0.6538
 Site-art_painting                  | Val  Loss: 1.2902 | Val  Acc: 0.7660
 Site-art_painting                  | Val  Loss: 1.3126 | Val  Acc: 0.7647
 Site-cartoon                       | Val  Loss: 1.6211 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.5278 | Val  Acc: 0.7143
 Site-sketch                        | Val  Loss: 1.8433 | Val  Acc: 0.2564
Average Valid Accuracy: 0.8320
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 0.8750
 Best site-photo                     | Epoch:1 | Val Acc: 0.9524
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 0.9794
 Best site-art_painting              | Epoch:1 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8000
 Best site-art_painting              | Epoch:1 | Val Acc: 0.6538
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7660
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7647
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.7143
 Best site-sketch                    | Epoch:1 | Val Acc: 0.2564
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedsam...
============ Train epoch 2 ============
 Site-photo                         | Train Loss: 0.3478 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.5385 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 0.4866 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4348 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4282 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.5002 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.5892 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4619 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.5029 | Train Acc: 0.9823
 Site-photo                         | Train Loss: 0.5435 | Train Acc: 0.9863
 Site-art_painting                  | Train Loss: 1.2083 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.1898 | Train Acc: 0.7273
 Site-art_painting                  | Train Loss: 1.1570 | Train Acc: 0.8000
 Site-art_painting                  | Train Loss: 1.1059 | Train Acc: 0.8056
 Site-art_painting                  | Train Loss: 1.1056 | Train Acc: 0.7734
 Site-cartoon                       | Train Loss: 1.4183 | Train Acc: 0.8182
 Site-cartoon                       | Train Loss: 1.2844 | Train Acc: 0.7652
 Site-sketch                        | Train Loss: 1.8015 | Train Acc: 0.3621
Average Train Accuracy: 0.8730
 Site-photo                         | Val  Loss: 0.5649 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.6158 | Val  Acc: 0.9167
 Site-photo                         | Val  Loss: 0.6258 | Val  Acc: 0.8750
 Site-photo                         | Val  Loss: 0.5203 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4441 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4394 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4621 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.5099 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4649 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4603 | Val  Acc: 0.9897
 Site-art_painting                  | Val  Loss: 1.1661 | Val  Acc: 0.6250
 Site-art_painting                  | Val  Loss: 1.0581 | Val  Acc: 0.8667
 Site-art_painting                  | Val  Loss: 1.1112 | Val  Acc: 0.6923
 Site-art_painting                  | Val  Loss: 1.0837 | Val  Acc: 0.7660
 Site-art_painting                  | Val  Loss: 1.0795 | Val  Acc: 0.7882
 Site-cartoon                       | Val  Loss: 1.4686 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.3985 | Val  Acc: 0.7403
 Site-sketch                        | Val  Loss: 1.7584 | Val  Acc: 0.3590
Average Valid Accuracy: 0.8518
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 0.9167
 Best site-photo                     | Epoch:2 | Val Acc: 0.8750
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 0.9897
 Best site-art_painting              | Epoch:2 | Val Acc: 0.6250
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8667
 Best site-art_painting              | Epoch:2 | Val Acc: 0.6923
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7660
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7882
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.7403
 Best site-sketch                    | Epoch:2 | Val Acc: 0.3590
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedsam...
============ Train epoch 3 ============
 Site-photo                         | Train Loss: 0.2397 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.3541 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 0.3266 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2787 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2352 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2903 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.3398 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2773 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.3119 | Train Acc: 0.9912
 Site-photo                         | Train Loss: 0.2987 | Train Acc: 0.9932
 Site-art_painting                  | Train Loss: 0.9691 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.9494 | Train Acc: 0.8182
 Site-art_painting                  | Train Loss: 0.9728 | Train Acc: 0.7750
 Site-art_painting                  | Train Loss: 1.0721 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.9143 | Train Acc: 0.8594
 Site-cartoon                       | Train Loss: 1.3568 | Train Acc: 0.6364
 Site-cartoon                       | Train Loss: 1.2082 | Train Acc: 0.7652
 Site-sketch                        | Train Loss: 1.7294 | Train Acc: 0.2759
Average Train Accuracy: 0.8736
 Site-photo                         | Val  Loss: 0.3222 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.3644 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.4391 | Val  Acc: 0.9375
 Site-photo                         | Val  Loss: 0.3103 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2550 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2627 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2984 | Val  Acc: 0.9778
 Site-photo                         | Val  Loss: 0.3164 | Val  Acc: 0.9828
 Site-photo                         | Val  Loss: 0.2652 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2573 | Val  Acc: 0.9897
 Site-art_painting                  | Val  Loss: 1.0201 | Val  Acc: 0.7500
 Site-art_painting                  | Val  Loss: 0.9014 | Val  Acc: 0.8667
 Site-art_painting                  | Val  Loss: 0.8316 | Val  Acc: 0.8462
 Site-art_painting                  | Val  Loss: 0.8915 | Val  Acc: 0.8511
 Site-art_painting                  | Val  Loss: 0.9554 | Val  Acc: 0.8235
 Site-cartoon                       | Val  Loss: 1.3634 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.2535 | Val  Acc: 0.7403
 Site-sketch                        | Val  Loss: 1.6406 | Val  Acc: 0.4103
Average Valid Accuracy: 0.8828
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 0.9375
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 0.9778
 Best site-photo                     | Epoch:3 | Val Acc: 0.9828
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 0.9897
 Best site-art_painting              | Epoch:3 | Val Acc: 0.7500
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8667
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8462
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8511
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8235
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.7403
 Best site-sketch                    | Epoch:3 | Val Acc: 0.4103
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedsam...
============ Train epoch 4 ============
 Site-photo                         | Train Loss: 0.1838 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2843 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 0.2171 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1405 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1432 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2178 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1189 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1926 | Train Acc: 0.9886
 Site-photo                         | Train Loss: 0.1831 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1986 | Train Acc: 0.9932
 Site-art_painting                  | Train Loss: 0.8418 | Train Acc: 0.9167
 Site-art_painting                  | Train Loss: 0.8898 | Train Acc: 0.8182
 Site-art_painting                  | Train Loss: 0.8744 | Train Acc: 0.8000
 Site-art_painting                  | Train Loss: 0.6775 | Train Acc: 0.8750
 Site-art_painting                  | Train Loss: 0.8243 | Train Acc: 0.8359
 Site-cartoon                       | Train Loss: 1.1959 | Train Acc: 0.8182
 Site-cartoon                       | Train Loss: 1.0539 | Train Acc: 0.8174
 Site-sketch                        | Train Loss: 1.6890 | Train Acc: 0.3276
Average Train Accuracy: 0.8964
 Site-photo                         | Val  Loss: 0.2192 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2386 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2618 | Val  Acc: 0.9375
 Site-photo                         | Val  Loss: 0.2056 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1418 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1524 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1586 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2027 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1575 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1449 | Val  Acc: 1.0000
 Site-art_painting                  | Val  Loss: 0.7355 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 0.7869 | Val  Acc: 0.8667
 Site-art_painting                  | Val  Loss: 0.8280 | Val  Acc: 0.8462
 Site-art_painting                  | Val  Loss: 0.7409 | Val  Acc: 0.9149
 Site-art_painting                  | Val  Loss: 0.8466 | Val  Acc: 0.8235
 Site-cartoon                       | Val  Loss: 1.2603 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.2028 | Val  Acc: 0.7273
 Site-sketch                        | Val  Loss: 1.6398 | Val  Acc: 0.5385
Average Valid Accuracy: 0.9024
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 0.9375
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-art_painting              | Epoch:4 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:4 | Val Acc: 0.8667
 Best site-art_painting              | Epoch:4 | Val Acc: 0.8462
 Best site-art_painting              | Epoch:4 | Val Acc: 0.9149
 Best site-art_painting              | Epoch:4 | Val Acc: 0.8235
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.7273
 Best site-sketch                    | Epoch:4 | Val Acc: 0.5385
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedsam...
============ Train epoch 5 ============
 Site-photo                         | Train Loss: 0.0836 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2209 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 0.1133 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1059 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0829 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1304 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.1140 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0954 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1118 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1648 | Train Acc: 0.9863
 Site-art_painting                  | Train Loss: 0.7572 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.8018 | Train Acc: 0.8182
 Site-art_painting                  | Train Loss: 0.8212 | Train Acc: 0.8500
 Site-art_painting                  | Train Loss: 0.5817 | Train Acc: 0.8750
 Site-art_painting                  | Train Loss: 0.6925 | Train Acc: 0.8984
 Site-cartoon                       | Train Loss: 1.1889 | Train Acc: 0.6364
 Site-cartoon                       | Train Loss: 1.0053 | Train Acc: 0.7652
 Site-sketch                        | Train Loss: 1.6167 | Train Acc: 0.4483
Average Train Accuracy: 0.8909
 Site-photo                         | Val  Loss: 0.1699 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2245 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2753 | Val  Acc: 0.8750
 Site-photo                         | Val  Loss: 0.1151 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0905 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0993 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1096 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1217 | Val  Acc: 0.9828
 Site-photo                         | Val  Loss: 0.0930 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0954 | Val  Acc: 1.0000
 Site-art_painting                  | Val  Loss: 0.7826 | Val  Acc: 0.7500
 Site-art_painting                  | Val  Loss: 0.6635 | Val  Acc: 0.8667
 Site-art_painting                  | Val  Loss: 0.6984 | Val  Acc: 0.9231
 Site-art_painting                  | Val  Loss: 0.6552 | Val  Acc: 0.9149
 Site-art_painting                  | Val  Loss: 0.7024 | Val  Acc: 0.8824
 Site-cartoon                       | Val  Loss: 1.1974 | Val  Acc: 0.8571
 Site-cartoon                       | Val  Loss: 1.0655 | Val  Acc: 0.7143
 Site-sketch                        | Val  Loss: 1.6004 | Val  Acc: 0.4872
Average Valid Accuracy: 0.9030
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 0.8750
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 0.9828
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-art_painting              | Epoch:5 | Val Acc: 0.7500
 Best site-art_painting              | Epoch:5 | Val Acc: 0.8667
 Best site-art_painting              | Epoch:5 | Val Acc: 0.9231
 Best site-art_painting              | Epoch:5 | Val Acc: 0.9149
 Best site-art_painting              | Epoch:5 | Val Acc: 0.8824
 Best site-cartoon                   | Epoch:5 | Val Acc: 0.8571
 Best site-cartoon                   | Epoch:5 | Val Acc: 0.7143
 Best site-sketch                    | Epoch:5 | Val Acc: 0.4872
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedsam...
============ Train epoch 6 ============
 Site-photo                         | Train Loss: 0.0527 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1839 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 0.0949 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0492 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0447 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0870 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.0423 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0686 | Train Acc: 0.9886
 Site-photo                         | Train Loss: 0.0738 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0985 | Train Acc: 1.0000
 Site-art_painting                  | Train Loss: 0.6357 | Train Acc: 0.9167
 Site-art_painting                  | Train Loss: 0.7071 | Train Acc: 0.8182
 Site-art_painting                  | Train Loss: 0.7634 | Train Acc: 0.8250
 Site-art_painting                  | Train Loss: 0.6418 | Train Acc: 0.8750
 Site-art_painting                  | Train Loss: 0.6509 | Train Acc: 0.8828
 Site-cartoon                       | Train Loss: 0.9651 | Train Acc: 0.8182
 Site-cartoon                       | Train Loss: 0.9041 | Train Acc: 0.7826
 Site-sketch                        | Train Loss: 1.4730 | Train Acc: 0.4828
Average Train Accuracy: 0.9064
 Site-photo                         | Val  Loss: 0.1284 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1009 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1326 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0991 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0600 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0610 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0757 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1005 | Val  Acc: 0.9828
 Site-photo                         | Val  Loss: 0.0852 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0636 | Val  Acc: 0.9897
 Site-art_painting                  | Val  Loss: 0.6320 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 0.5821 | Val  Acc: 0.9333
 Site-art_painting                  | Val  Loss: 0.6446 | Val  Acc: 0.8462
 Site-art_painting                  | Val  Loss: 0.5901 | Val  Acc: 0.8723
 Site-art_painting                  | Val  Loss: 0.5905 | Val  Acc: 0.9294
 Site-cartoon                       | Val  Loss: 1.0993 | Val  Acc: 0.8571
 Site-cartoon                       | Val  Loss: 0.9606 | Val  Acc: 0.8312
 Site-sketch                        | Val  Loss: 1.4767 | Val  Acc: 0.5128
Average Valid Accuracy: 0.9239
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9828
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9897
 Best site-art_painting              | Epoch:6 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9333
 Best site-art_painting              | Epoch:6 | Val Acc: 0.8462
 Best site-art_painting              | Epoch:6 | Val Acc: 0.8723
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9294
 Best site-cartoon                   | Epoch:6 | Val Acc: 0.8571
 Best site-cartoon                   | Epoch:6 | Val Acc: 0.8312
 Best site-sketch                    | Epoch:6 | Val Acc: 0.5128
