===2023-05-24 11:46:06===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[198,259,340,446,360,222,291,382,457,264,346,448,352,462,268,352,474,330,]
client_nums=[5,4,3,2,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-White_Female             | Train Loss: 2.0577 | Train Acc: 0.3789
 Site-White_Male               | Train Loss: 2.1126 | Train Acc: 0.2472
 Site-Latino_Hispanic_Female   | Train Loss: 2.0639 | Train Acc: 0.2793
 Site-Latino_Hispanic_Male     | Train Loss: 2.1004 | Train Acc: 0.2165
 Site-Latino_Hispanic_Female   | Train Loss: 2.0884 | Train Acc: 0.2592
 Site-Latino_Hispanic_Male     | Train Loss: 2.1009 | Train Acc: 0.2626
 Site-Black_Female             | Train Loss: 2.0871 | Train Acc: 0.2765
 Site-Black_Male               | Train Loss: 2.1231 | Train Acc: 0.2254
 Site-Black_Female             | Train Loss: 2.0948 | Train Acc: 0.2589
 Site-East_Asian_Male          | Train Loss: 2.0799 | Train Acc: 0.2898
 Site-East_Asian_Female        | Train Loss: 2.0447 | Train Acc: 0.3896
 Site-Indian_Male              | Train Loss: 2.1168 | Train Acc: 0.1940
 Site-Indian_Female            | Train Loss: 2.1139 | Train Acc: 0.2358
 Site-Southeast_Asian_Male     | Train Loss: 2.1187 | Train Acc: 0.2215
 Site-Middle_Eastern_Female    | Train Loss: 2.0673 | Train Acc: 0.2970
 Site-White_Male                    | Val  Loss: 2.0692 | Val  Acc: 0.2803
 Site-White_Female                  | Val  Loss: 2.0528 | Val  Acc: 0.3353
 Site-White_Male                    | Val  Loss: 2.1065 | Val  Acc: 0.2423
 Site-White_Female                  | Val  Loss: 2.0653 | Val  Acc: 0.3232
 Site-White_Male                    | Val  Loss: 2.1094 | Val  Acc: 0.2292
 Site-Latino_Hispanic_Female        | Val  Loss: 2.0661 | Val  Acc: 0.2905
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0932 | Val  Acc: 0.2268
 Site-Latino_Hispanic_Female        | Val  Loss: 2.0860 | Val  Acc: 0.2480
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1074 | Val  Acc: 0.2138
 Site-Black_Female                  | Val  Loss: 2.0969 | Val  Acc: 0.2727
 Site-Black_Male                    | Val  Loss: 2.1084 | Val  Acc: 0.2554
 Site-Black_Female                  | Val  Loss: 2.0980 | Val  Acc: 0.2450
 Site-East_Asian_Male               | Val  Loss: 2.0794 | Val  Acc: 0.3034
 Site-East_Asian_Female             | Val  Loss: 2.0337 | Val  Acc: 0.3961
 Site-Indian_Male                   | Val  Loss: 2.1208 | Val  Acc: 0.2514
 Site-Indian_Female                 | Val  Loss: 2.1079 | Val  Acc: 0.2735
 Site-Southeast_Asian_Male          | Val  Loss: 2.1185 | Val  Acc: 0.2278
 Site-Middle_Eastern_Female         | Val  Loss: 2.0698 | Val  Acc: 0.3591
Average Valid Accuracy: 0.2763
 Best site-White_Male                | Epoch:2 | Val Acc: 0.2803
 Best site-White_Female              | Epoch:2 | Val Acc: 0.3353
 Best site-White_Male                | Epoch:2 | Val Acc: 0.2423
 Best site-White_Female              | Epoch:2 | Val Acc: 0.3232
 Best site-White_Male                | Epoch:2 | Val Acc: 0.2292
 Best site-Latino_Hispanic_Female    | Epoch:2 | Val Acc: 0.2905
 Best site-Latino_Hispanic_Male      | Epoch:2 | Val Acc: 0.2268
 Best site-Latino_Hispanic_Female    | Epoch:2 | Val Acc: 0.2480
 Best site-Latino_Hispanic_Male      | Epoch:2 | Val Acc: 0.2138
 Best site-Black_Female              | Epoch:2 | Val Acc: 0.2727
 Best site-Black_Male                | Epoch:2 | Val Acc: 0.2554
 Best site-Black_Female              | Epoch:2 | Val Acc: 0.2450
 Best site-East_Asian_Male           | Epoch:2 | Val Acc: 0.3034
 Best site-East_Asian_Female         | Epoch:2 | Val Acc: 0.3961
 Best site-Indian_Male               | Epoch:2 | Val Acc: 0.2514
 Best site-Indian_Female             | Epoch:2 | Val Acc: 0.2735
 Best site-Southeast_Asian_Male      | Epoch:2 | Val Acc: 0.2278
 Best site-Middle_Eastern_Female     | Epoch:2 | Val Acc: 0.3591
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_gender_cluster_-1/fedavg...
============ Train epoch 3 ============
 Site-White_Male               | Train Loss: 2.0585 | Train Acc: 0.2727
 Site-White_Female             | Train Loss: 2.0118 | Train Acc: 0.3475
 Site-White_Male               | Train Loss: 2.0915 | Train Acc: 0.2206
 Site-White_Female             | Train Loss: 2.0190 | Train Acc: 0.3767
 Site-White_Male               | Train Loss: 2.0847 | Train Acc: 0.2444
 Site-Latino_Hispanic_Female   | Train Loss: 2.0520 | Train Acc: 0.2928
 Site-Latino_Hispanic_Male     | Train Loss: 2.0747 | Train Acc: 0.2302
 Site-Latino_Hispanic_Female   | Train Loss: 2.0603 | Train Acc: 0.2592
 Site-Latino_Hispanic_Male     | Train Loss: 2.0647 | Train Acc: 0.2670
 Site-Black_Female             | Train Loss: 2.0551 | Train Acc: 0.2652
 Site-Black_Male               | Train Loss: 2.0918 | Train Acc: 0.2457
 Site-Black_Female             | Train Loss: 2.0734 | Train Acc: 0.2545
 Site-East_Asian_Male          | Train Loss: 2.0477 | Train Acc: 0.2983
 Site-East_Asian_Female        | Train Loss: 1.9822 | Train Acc: 0.4459
 Site-Indian_Male              | Train Loss: 2.1080 | Train Acc: 0.2351
 Site-Indian_Female            | Train Loss: 2.0953 | Train Acc: 0.2727
 Site-Southeast_Asian_Male     | Train Loss: 2.0883 | Train Acc: 0.2679
 Site-Middle_Eastern_Female    | Train Loss: 2.0156 | Train Acc: 0.3303
 Site-White_Male                    | Val  Loss: 2.0150 | Val  Acc: 0.3030
 Site-White_Female                  | Val  Loss: 2.0158 | Val  Acc: 0.3815
 Site-White_Male                    | Val  Loss: 2.0830 | Val  Acc: 0.2291
 Site-White_Female                  | Val  Loss: 2.0282 | Val  Acc: 0.3266
 Site-White_Male                    | Val  Loss: 2.0793 | Val  Acc: 0.2917
 Site-Latino_Hispanic_Female        | Val  Loss: 2.0329 | Val  Acc: 0.2770
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0781 | Val  Acc: 0.2320
 Site-Latino_Hispanic_Female        | Val  Loss: 2.0523 | Val  Acc: 0.2598
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0868 | Val  Acc: 0.2303
 Site-Black_Female                  | Val  Loss: 2.0770 | Val  Acc: 0.2670
 Site-Black_Male                    | Val  Loss: 2.0773 | Val  Acc: 0.2857
 Site-Black_Female                  | Val  Loss: 2.0720 | Val  Acc: 0.2517
 Site-East_Asian_Male               | Val  Loss: 2.0443 | Val  Acc: 0.3120
 Site-East_Asian_Female             | Val  Loss: 1.9872 | Val  Acc: 0.4416
 Site-Indian_Male                   | Val  Loss: 2.0987 | Val  Acc: 0.2402
 Site-Indian_Female                 | Val  Loss: 2.0888 | Val  Acc: 0.2906
 Site-Southeast_Asian_Male          | Val  Loss: 2.0895 | Val  Acc: 0.2722
 Site-Middle_Eastern_Female         | Val  Loss: 2.0377 | Val  Acc: 0.3545
Average Valid Accuracy: 0.2915
 Best site-White_Male                | Epoch:3 | Val Acc: 0.3030
 Best site-White_Female              | Epoch:3 | Val Acc: 0.3815
 Best site-White_Male                | Epoch:3 | Val Acc: 0.2291
 Best site-White_Female              | Epoch:3 | Val Acc: 0.3266
 Best site-White_Male                | Epoch:3 | Val Acc: 0.2917
 Best site-Latino_Hispanic_Female    | Epoch:3 | Val Acc: 0.2770
 Best site-Latino_Hispanic_Male      | Epoch:3 | Val Acc: 0.2320
 Best site-Latino_Hispanic_Female    | Epoch:3 | Val Acc: 0.2598
 Best site-Latino_Hispanic_Male      | Epoch:3 | Val Acc: 0.2303
 Best site-Black_Female              | Epoch:3 | Val Acc: 0.2670
 Best site-Black_Male                | Epoch:3 | Val Acc: 0.2857
 Best site-Black_Female              | Epoch:3 | Val Acc: 0.2517
 Best site-East_Asian_Male           | Epoch:3 | Val Acc: 0.3120
 Best site-East_Asian_Female         | Epoch:3 | Val Acc: 0.4416
 Best site-Indian_Male               | Epoch:3 | Val Acc: 0.2402
 Best site-Indian_Female             | Epoch:3 | Val Acc: 0.2906
 Best site-Southeast_Asian_Male      | Epoch:3 | Val Acc: 0.2722
 Best site-Middle_Eastern_Female     | Epoch:3 | Val Acc: 0.3545
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_gender_cluster_-1/fedavg...
============ Train epoch 4 ============
 Site-White_Male               | Train Loss: 2.0763 | Train Acc: 0.2576
