===2023-05-24 04:44:01===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[198,259,340,446,360,222,291,382,457,264,346,448,352,462,268,352,474,330,]
client_nums=[5,4,3,2,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-East_Asian_Male          | Train Loss: 1.7779 | Train Acc: 0.3324
 Site-East_Asian_Female        | Train Loss: 1.6423 | Train Acc: 0.4784
 Site-Indian_Male              | Train Loss: 1.8570 | Train Acc: 0.2612
 Site-Indian_Female            | Train Loss: 1.9524 | Train Acc: 0.2926
 Site-Southeast_Asian_Male     | Train Loss: 1.9083 | Train Acc: 0.2827
 Site-Middle_Eastern_Female    | Train Loss: 1.8042 | Train Acc: 0.3394
 Site-White_Male                    | Val  Loss: 1.7086 | Val  Acc: 0.2576
 Site-White_Female                  | Val  Loss: 1.7169 | Val  Acc: 0.3931
 Site-White_Male                    | Val  Loss: 1.8820 | Val  Acc: 0.2467
 Site-White_Female                  | Val  Loss: 1.7483 | Val  Acc: 0.3636
 Site-White_Male                    | Val  Loss: 1.8739 | Val  Acc: 0.2500
 Site-Latino_Hispanic_Female        | Val  Loss: 1.8281 | Val  Acc: 0.2905
 Site-Latino_Hispanic_Male          | Val  Loss: 1.8564 | Val  Acc: 0.2268
 Site-Latino_Hispanic_Female        | Val  Loss: 1.8291 | Val  Acc: 0.2992
 Site-Latino_Hispanic_Male          | Val  Loss: 1.8807 | Val  Acc: 0.2270
 Site-Black_Female                  | Val  Loss: 1.8483 | Val  Acc: 0.2898
 Site-Black_Male                    | Val  Loss: 1.8627 | Val  Acc: 0.2511
 Site-Black_Female                  | Val  Loss: 1.8475 | Val  Acc: 0.2886
 Site-East_Asian_Male               | Val  Loss: 1.8036 | Val  Acc: 0.3162
 Site-East_Asian_Female             | Val  Loss: 1.6524 | Val  Acc: 0.4708
 Site-Indian_Male                   | Val  Loss: 1.8844 | Val  Acc: 0.2291
 Site-Indian_Female                 | Val  Loss: 1.9743 | Val  Acc: 0.2735
 Site-Southeast_Asian_Male          | Val  Loss: 1.9272 | Val  Acc: 0.2975
 Site-Middle_Eastern_Female         | Val  Loss: 1.7893 | Val  Acc: 0.3545
Average Valid Accuracy: 0.2959
============ Train epoch 4 ============
 Site-White_Male               | Train Loss: 1.8027 | Train Acc: 0.2879
 Site-White_Female             | Train Loss: 1.7512 | Train Acc: 0.3900
 Site-White_Male               | Train Loss: 1.8402 | Train Acc: 0.2794
 Site-White_Female             | Train Loss: 1.7333 | Train Acc: 0.3834
 Site-White_Male               | Train Loss: 1.8248 | Train Acc: 0.2639
 Site-Latino_Hispanic_Female   | Train Loss: 1.7907 | Train Acc: 0.3108
 Site-Latino_Hispanic_Male     | Train Loss: 1.8453 | Train Acc: 0.2749
 Site-Latino_Hispanic_Female   | Train Loss: 1.8381 | Train Acc: 0.2932
 Site-Latino_Hispanic_Male     | Train Loss: 1.8259 | Train Acc: 0.2779
 Site-Black_Female             | Train Loss: 1.8058 | Train Acc: 0.3220
 Site-Black_Male               | Train Loss: 1.8414 | Train Acc: 0.2601
 Site-Black_Female             | Train Loss: 1.7978 | Train Acc: 0.2991
 Site-East_Asian_Male          | Train Loss: 1.7245 | Train Acc: 0.3466
 Site-East_Asian_Female        | Train Loss: 1.5755 | Train Acc: 0.4892
 Site-Indian_Male              | Train Loss: 1.8932 | Train Acc: 0.2500
 Site-Indian_Female            | Train Loss: 1.8959 | Train Acc: 0.2841
 Site-Southeast_Asian_Male     | Train Loss: 1.8738 | Train Acc: 0.3270
 Site-Middle_Eastern_Female    | Train Loss: 1.7452 | Train Acc: 0.3576
 Site-White_Male                    | Val  Loss: 1.7000 | Val  Acc: 0.2652
 Site-White_Female                  | Val  Loss: 1.6953 | Val  Acc: 0.4046
 Site-White_Male                    | Val  Loss: 1.8710 | Val  Acc: 0.2687
 Site-White_Female                  | Val  Loss: 1.7110 | Val  Acc: 0.3737
 Site-White_Male                    | Val  Loss: 1.8513 | Val  Acc: 0.2833
 Site-Latino_Hispanic_Female        | Val  Loss: 1.8007 | Val  Acc: 0.2838
 Site-Latino_Hispanic_Male          | Val  Loss: 1.8087 | Val  Acc: 0.2371
 Site-Latino_Hispanic_Female        | Val  Loss: 1.8122 | Val  Acc: 0.2874
