===2023-08-17 02:56:10===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:12===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 04:17:47===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.5696 | Train Acc: 0.9184
 Site-photo                         | Train Loss: 1.5961 | Train Acc: 0.8295
 Site-photo                         | Train Loss: 1.5505 | Train Acc: 0.9618
 Site-sketch                        | Train Loss: 1.8415 | Train Acc: 0.2857
 Site-sketch                        | Train Loss: 1.8633 | Train Acc: 0.3310
 Site-cartoon                       | Train Loss: 1.7835 | Train Acc: 0.4028
Average Train Accuracy: 0.6871
 Best site-art_painting              | Epoch:3 | Val Acc: 0.7778
 Best site-art_painting              | Epoch:3 | Val Acc: 0.4783
 Best site-art_painting              | Epoch:3 | Val Acc: 0.6667
 Best site-art_painting              | Epoch:3 | Val Acc: 0.7632
 Best site-art_painting              | Epoch:3 | Val Acc: 0.6200
 Best site-art_painting              | Epoch:3 | Val Acc: 0.7344
 Best site-art_painting              | Epoch:3 | Val Acc: 0.6386
 Best site-art_painting              | Epoch:3 | Val Acc: 0.6542
 Best site-art_painting              | Epoch:3 | Val Acc: 0.6691
 Best site-art_painting              | Epoch:3 | Val Acc: 0.7389
 Best site-photo                     | Epoch:3 | Val Acc: 0.9333
 Best site-photo                     | Epoch:3 | Val Acc: 0.9643
 Best site-photo                     | Epoch:3 | Val Acc: 0.9184
 Best site-photo                     | Epoch:3 | Val Acc: 0.8295
 Best site-photo                     | Epoch:3 | Val Acc: 0.9618
 Best site-sketch                    | Epoch:3 | Val Acc: 0.2857
 Best site-sketch                    | Epoch:3 | Val Acc: 0.3310
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.4028
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/term...
============ Train epoch 4 ============
 Site-art_painting                  | Train Loss: 1.5875 | Train Acc: 0.7778
 Site-art_painting                  | Train Loss: 1.6882 | Train Acc: 0.6522
 Site-art_painting                  | Train Loss: 1.6333 | Train Acc: 0.7000
 Site-art_painting                  | Train Loss: 1.5258 | Train Acc: 0.7632
 Site-art_painting                  | Train Loss: 1.6784 | Train Acc: 0.6000
 Site-art_painting                  | Train Loss: 1.5479 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.6072 | Train Acc: 0.6506
 Site-art_painting                  | Train Loss: 1.6134 | Train Acc: 0.6729
 Site-art_painting                  | Train Loss: 1.6098 | Train Acc: 0.6978
 Site-art_painting                  | Train Loss: 1.5899 | Train Acc: 0.7333
 Site-photo                         | Train Loss: 1.4609 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.5164 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.4662 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 1.5195 | Train Acc: 0.9091
 Site-photo                         | Train Loss: 1.4605 | Train Acc: 0.9745
 Site-sketch                        | Train Loss: 1.8546 | Train Acc: 0.2143
 Site-sketch                        | Train Loss: 1.8287 | Train Acc: 0.3732
 Site-cartoon                       | Train Loss: 1.7814 | Train Acc: 0.4722
Average Train Accuracy: 0.7178
 Best site-art_painting              | Epoch:4 | Val Acc: 0.7778
 Best site-art_painting              | Epoch:4 | Val Acc: 0.6522
 Best site-art_painting              | Epoch:4 | Val Acc: 0.7000
 Best site-art_painting              | Epoch:4 | Val Acc: 0.7632
 Best site-art_painting              | Epoch:4 | Val Acc: 0.6000
 Best site-art_painting              | Epoch:4 | Val Acc: 0.7500
 Best site-art_painting              | Epoch:4 | Val Acc: 0.6506
 Best site-art_painting              | Epoch:4 | Val Acc: 0.6729
 Best site-art_painting              | Epoch:4 | Val Acc: 0.6978
 Best site-art_painting              | Epoch:4 | Val Acc: 0.7333
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 0.9796
 Best site-photo                     | Epoch:4 | Val Acc: 0.9091
 Best site-photo                     | Epoch:4 | Val Acc: 0.9745
 Best site-sketch                    | Epoch:4 | Val Acc: 0.2143
 Best site-sketch                    | Epoch:4 | Val Acc: 0.3732
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.4722
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/term...
============ Train epoch 5 ============
 Site-art_painting                  | Train Loss: 1.5570 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 1.5930 | Train Acc: 0.6087
 Site-art_painting                  | Train Loss: 1.5937 | Train Acc: 0.5667
 Site-art_painting                  | Train Loss: 1.5127 | Train Acc: 0.7895
 Site-art_painting                  | Train Loss: 1.6518 | Train Acc: 0.5200
 Site-art_painting                  | Train Loss: 1.4692 | Train Acc: 0.8125
 Site-art_painting                  | Train Loss: 1.5580 | Train Acc: 0.7349
 Site-art_painting                  | Train Loss: 1.5819 | Train Acc: 0.7570
