===2023-08-17 02:56:18===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:20===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 05:52:08===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Best site-sketch                    | Epoch:2 | Val Acc: 0.5714
 Best site-sketch                    | Epoch:2 | Val Acc: 0.5211
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.6389
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/fedsam...
============ Train epoch 3 ============
 Site-art_painting                  | Train Loss: 0.6074 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.6702 | Train Acc: 0.8696
 Site-art_painting                  | Train Loss: 0.7379 | Train Acc: 0.8667
 Site-art_painting                  | Train Loss: 0.3335 | Train Acc: 0.9737
 Site-art_painting                  | Train Loss: 0.6818 | Train Acc: 0.8000
 Site-art_painting                  | Train Loss: 0.5033 | Train Acc: 0.9062
 Site-art_painting                  | Train Loss: 0.6027 | Train Acc: 0.8916
 Site-art_painting                  | Train Loss: 0.5844 | Train Acc: 0.9252
 Site-art_painting                  | Train Loss: 0.5968 | Train Acc: 0.8633
 Site-art_painting                  | Train Loss: 0.5749 | Train Acc: 0.9056
 Site-photo                         | Train Loss: 0.1498 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2285 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2142 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2504 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.1684 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.1948 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 1.3380 | Train Acc: 0.5986
 Site-cartoon                       | Train Loss: 1.0889 | Train Acc: 0.6111
Average Train Accuracy: 0.8767
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8889
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8696
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8667
 Best site-art_painting              | Epoch:3 | Val Acc: 0.9737
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8000
 Best site-art_painting              | Epoch:3 | Val Acc: 0.9062
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8916
 Best site-art_painting              | Epoch:3 | Val Acc: 0.9252
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8633
 Best site-art_painting              | Epoch:3 | Val Acc: 0.9056
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 0.9659
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-sketch                    | Epoch:3 | Val Acc: 0.7143
 Best site-sketch                    | Epoch:3 | Val Acc: 0.5986
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.6111
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/fedsam...
============ Train epoch 4 ============
 Site-art_painting                  | Train Loss: 0.6144 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.7092 | Train Acc: 0.7391
 Site-art_painting                  | Train Loss: 0.6513 | Train Acc: 0.9000
 Site-art_painting                  | Train Loss: 0.2776 | Train Acc: 0.9474
 Site-art_painting                  | Train Loss: 0.6082 | Train Acc: 0.8800
 Site-art_painting                  | Train Loss: 0.4448 | Train Acc: 0.9062
 Site-art_painting                  | Train Loss: 0.4976 | Train Acc: 0.9277
 Site-art_painting                  | Train Loss: 0.4342 | Train Acc: 0.9346
 Site-art_painting                  | Train Loss: 0.5249 | Train Acc: 0.8633
 Site-art_painting                  | Train Loss: 0.4701 | Train Acc: 0.8944
 Site-photo                         | Train Loss: 0.0764 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1432 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1139 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2094 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.1121 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.3409 | Train Acc: 0.4286
 Site-sketch                        | Train Loss: 1.2399 | Train Acc: 0.5493
 Site-cartoon                       | Train Loss: 1.1281 | Train Acc: 0.5972
Average Train Accuracy: 0.8568
============ Train epoch 5 ============
 Site-art_painting                  | Train Loss: 0.5397 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.6341 | Train Acc: 0.8261
 Site-art_painting                  | Train Loss: 0.5804 | Train Acc: 0.8667
 Site-art_painting                  | Train Loss: 0.3341 | Train Acc: 0.9737
 Site-art_painting                  | Train Loss: 0.5302 | Train Acc: 0.8800
 Site-art_painting                  | Train Loss: 0.3829 | Train Acc: 0.9531
 Site-art_painting                  | Train Loss: 0.4373 | Train Acc: 0.9036
 Site-art_painting                  | Train Loss: 0.4131 | Train Acc: 0.9346
 Site-art_painting                  | Train Loss: 0.4501 | Train Acc: 0.8777
 Site-art_painting                  | Train Loss: 0.3972 | Train Acc: 0.9222
 Site-photo                         | Train Loss: 0.0435 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1262 | Train Acc: 0.9643
 Site-photo                         | Train Loss: 0.0851 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1657 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0627 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.0746 | Train Acc: 0.6429
 Site-sketch                        | Train Loss: 1.1840 | Train Acc: 0.5493
 Site-cartoon                       | Train Loss: 1.0552 | Train Acc: 0.6111
Average Train Accuracy: 0.8725
============ Train epoch 6 ============
 Site-art_painting                  | Train Loss: 0.4403 | Train Acc: 0.9444
 Site-art_painting                  | Train Loss: 0.4480 | Train Acc: 1.0000
 Site-art_painting                  | Train Loss: 0.4991 | Train Acc: 0.9333
 Site-art_painting                  | Train Loss: 0.4228 | Train Acc: 0.8947
 Site-art_painting                  | Train Loss: 0.5704 | Train Acc: 0.8400
