===2023-06-29 03:48:27===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Sketch                        | Val  Loss: 2.2786 | Val  Acc: 0.0685
 Site-Sketch                        | Val  Loss: 2.2814 | Val  Acc: 0.1538
 Site-Infograph                     | Val  Loss: 2.3003 | Val  Acc: 0.0893
 Site-Infograph                     | Val  Loss: 2.3110 | Val  Acc: 0.0989
 Site-QuickDraw                     | Val  Loss: 2.3031 | Val  Acc: 0.1304
Average Valid Accuracy: 0.1170
 Best site-Real                      | Epoch:1 | Val Acc: 0.4000
 Best site-Real                      | Epoch:1 | Val Acc: 0.1250
 Best site-Real                      | Epoch:1 | Val Acc: 0.0000
 Best site-Real                      | Epoch:1 | Val Acc: 0.0952
 Best site-Real                      | Epoch:1 | Val Acc: 0.1429
 Best site-Real                      | Epoch:1 | Val Acc: 0.1250
 Best site-Real                      | Epoch:1 | Val Acc: 0.0787
 Best site-Real                      | Epoch:1 | Val Acc: 0.0629
 Best site-Real                      | Epoch:1 | Val Acc: 0.1485
 Best site-Real                      | Epoch:1 | Val Acc: 0.1635
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.0000
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.0455
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.0833
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1053
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.0761
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1149
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1695
 Best site-Painting                  | Epoch:1 | Val Acc: 0.1220
 Best site-Painting                  | Epoch:1 | Val Acc: 0.1846
 Best site-Painting                  | Epoch:1 | Val Acc: 0.1524
 Best site-Painting                  | Epoch:1 | Val Acc: 0.1131
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.1111
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.0685
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.1538
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.0893
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.0989
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.1304
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/drfl...
============ Train epoch 2 ============
 Site-Real                          | Train Loss: 2.2385 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.2687 | Train Acc: 0.0000
 Site-Real                          | Train Loss: 2.2237 | Train Acc: 0.3000
 Site-Real                          | Train Loss: 2.2475 | Train Acc: 0.2188
 Site-Real                          | Train Loss: 2.2576 | Train Acc: 0.1538
 Site-Real                          | Train Loss: 2.2633 | Train Acc: 0.2381
 Site-Real                          | Train Loss: 2.2457 | Train Acc: 0.2090
 Site-Real                          | Train Loss: 2.2477 | Train Acc: 0.1907
 Site-Real                          | Train Loss: 2.2547 | Train Acc: 0.2261
 Site-Real                          | Train Loss: 2.2630 | Train Acc: 0.1902
 Site-Clipart                       | Train Loss: 2.2730 | Train Acc: 0.1429
 Site-Clipart                       | Train Loss: 2.2354 | Train Acc: 0.1515
 Site-Clipart                       | Train Loss: 2.2695 | Train Acc: 0.0926
 Site-Clipart                       | Train Loss: 2.2743 | Train Acc: 0.2093
 Site-Clipart                       | Train Loss: 2.2716 | Train Acc: 0.1522
 Site-Clipart                       | Train Loss: 2.2690 | Train Acc: 0.1351
 Site-Clipart                       | Train Loss: 2.2685 | Train Acc: 0.1380
 Site-Painting                      | Train Loss: 2.2645 | Train Acc: 0.0984
 Site-Painting                      | Train Loss: 2.2524 | Train Acc: 0.2551
 Site-Painting                      | Train Loss: 2.2744 | Train Acc: 0.1529
 Site-Painting                      | Train Loss: 2.2523 | Train Acc: 0.2460
 Site-Sketch                        | Train Loss: 2.2841 | Train Acc: 0.1324
 Site-Sketch                        | Train Loss: 2.2689 | Train Acc: 0.1818
 Site-Sketch                        | Train Loss: 2.2642 | Train Acc: 0.1648
 Site-Infograph                     | Train Loss: 2.3141 | Train Acc: 0.0824
 Site-Infograph                     | Train Loss: 2.3232 | Train Acc: 0.1176
 Site-QuickDraw                     | Train Loss: 2.2797 | Train Acc: 0.1594
Average Train Accuracy: 0.1700
 Site-Real                          | Val  Loss: 2.1926 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2250 | Val  Acc: 0.1250
 Site-Real                          | Val  Loss: 2.2624 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.2424 | Val  Acc: 0.3333
 Site-Real                          | Val  Loss: 2.2339 | Val  Acc: 0.2857
 Site-Real                          | Val  Loss: 2.2483 | Val  Acc: 0.2500
 Site-Real                          | Val  Loss: 2.2671 | Val  Acc: 0.2247
 Site-Real                          | Val  Loss: 2.2709 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.2570 | Val  Acc: 0.2140
 Site-Real                          | Val  Loss: 2.2495 | Val  Acc: 0.2343
 Site-Clipart                       | Val  Loss: 2.2850 | Val  Acc: 0.1429
 Site-Clipart                       | Val  Loss: 2.3047 | Val  Acc: 0.1364
 Site-Clipart                       | Val  Loss: 2.3012 | Val  Acc: 0.1389
 Site-Clipart                       | Val  Loss: 2.2752 | Val  Acc: 0.1754
 Site-Clipart                       | Val  Loss: 2.2699 | Val  Acc: 0.1848
 Site-Clipart                       | Val  Loss: 2.2801 | Val  Acc: 0.1284
 Site-Clipart                       | Val  Loss: 2.2712 | Val  Acc: 0.1483
 Site-Painting                      | Val  Loss: 2.2542 | Val  Acc: 0.2683
 Site-Painting                      | Val  Loss: 2.3151 | Val  Acc: 0.3385
 Site-Painting                      | Val  Loss: 2.2514 | Val  Acc: 0.2667
 Site-Painting                      | Val  Loss: 2.2579 | Val  Acc: 0.2024
 Site-Sketch                        | Val  Loss: 2.2677 | Val  Acc: 0.1556
 Site-Sketch                        | Val  Loss: 2.2877 | Val  Acc: 0.1370
 Site-Sketch                        | Val  Loss: 2.2749 | Val  Acc: 0.1709
 Site-Infograph                     | Val  Loss: 2.2970 | Val  Acc: 0.1429
 Site-Infograph                     | Val  Loss: 2.3067 | Val  Acc: 0.0769
 Site-QuickDraw                     | Val  Loss: 2.2973 | Val  Acc: 0.1522
Average Valid Accuracy: 0.1847
 Best site-Real                      | Epoch:2 | Val Acc: 0.2000
 Best site-Real                      | Epoch:2 | Val Acc: 0.1250
 Best site-Real                      | Epoch:2 | Val Acc: 0.0000
 Best site-Real                      | Epoch:2 | Val Acc: 0.3333
 Best site-Real                      | Epoch:2 | Val Acc: 0.2857
 Best site-Real                      | Epoch:2 | Val Acc: 0.2500
 Best site-Real                      | Epoch:2 | Val Acc: 0.2247
 Best site-Real                      | Epoch:2 | Val Acc: 0.1538
 Best site-Real                      | Epoch:2 | Val Acc: 0.2140
 Best site-Real                      | Epoch:2 | Val Acc: 0.2343
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1429
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1364
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1389
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1754
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1848
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1284
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1483
 Best site-Painting                  | Epoch:2 | Val Acc: 0.2683
 Best site-Painting                  | Epoch:2 | Val Acc: 0.3385
 Best site-Painting                  | Epoch:2 | Val Acc: 0.2667
 Best site-Painting                  | Epoch:2 | Val Acc: 0.2024
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.1556
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.1370
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.1709
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.1429
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.0769
 Best site-QuickDraw                 | Epoch:2 | Val Acc: 0.1522
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/drfl...
============ Train epoch 3 ============
 Site-Real                          | Train Loss: 2.2252 | Train Acc: 0.3750
 Site-Real                          | Train Loss: 2.2549 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2304 | Train Acc: 0.3500
 Site-Real                          | Train Loss: 2.2368 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.2308 | Train Acc: 0.3077
 Site-Real                          | Train Loss: 2.2439 | Train Acc: 0.3571
 Site-Real                          | Train Loss: 2.2308 | Train Acc: 0.2687
 Site-Real                          | Train Loss: 2.2259 | Train Acc: 0.3256
 Site-Real                          | Train Loss: 2.2320 | Train Acc: 0.3159
 Site-Real                          | Train Loss: 2.2402 | Train Acc: 0.2862
 Site-Clipart                       | Train Loss: 2.2562 | Train Acc: 0.0952
 Site-Clipart                       | Train Loss: 2.2055 | Train Acc: 0.2727
 Site-Clipart                       | Train Loss: 2.2683 | Train Acc: 0.1852
 Site-Clipart                       | Train Loss: 2.2462 | Train Acc: 0.2907
 Site-Clipart                       | Train Loss: 2.2302 | Train Acc: 0.2319
 Site-Clipart                       | Train Loss: 2.2599 | Train Acc: 0.1937
 Site-Clipart                       | Train Loss: 2.2580 | Train Acc: 0.1803
 Site-Painting                      | Train Loss: 2.2587 | Train Acc: 0.1311
 Site-Painting                      | Train Loss: 2.2367 | Train Acc: 0.2551
 Site-Painting                      | Train Loss: 2.2529 | Train Acc: 0.2293
 Site-Painting                      | Train Loss: 2.2369 | Train Acc: 0.3214
 Site-Sketch                        | Train Loss: 2.2657 | Train Acc: 0.1765
 Site-Sketch                        | Train Loss: 2.2622 | Train Acc: 0.1636
 Site-Sketch                        | Train Loss: 2.2552 | Train Acc: 0.2443
 Site-Infograph                     | Train Loss: 2.3277 | Train Acc: 0.1059
 Site-Infograph                     | Train Loss: 2.3046 | Train Acc: 0.0882
 Site-QuickDraw                     | Train Loss: 2.2923 | Train Acc: 0.1304
Average Train Accuracy: 0.2302
 Site-Real                          | Val  Loss: 2.1760 | Val  Acc: 0.4000
 Site-Real                          | Val  Loss: 2.1942 | Val  Acc: 0.6250
 Site-Real                          | Val  Loss: 2.2280 | Val  Acc: 0.3846
 Site-Real                          | Val  Loss: 2.2307 | Val  Acc: 0.3810
 Site-Real                          | Val  Loss: 2.2168 | Val  Acc: 0.4000
 Site-Real                          | Val  Loss: 2.2271 | Val  Acc: 0.3571
 Site-Real                          | Val  Loss: 2.2470 | Val  Acc: 0.2921
 Site-Real                          | Val  Loss: 2.2516 | Val  Acc: 0.2797
 Site-Real                          | Val  Loss: 2.2353 | Val  Acc: 0.3450
 Site-Real                          | Val  Loss: 2.2233 | Val  Acc: 0.3651
 Site-Clipart                       | Val  Loss: 2.2821 | Val  Acc: 0.1429
 Site-Clipart                       | Val  Loss: 2.3044 | Val  Acc: 0.1364
 Site-Clipart                       | Val  Loss: 2.2941 | Val  Acc: 0.1389
 Site-Clipart                       | Val  Loss: 2.2699 | Val  Acc: 0.1930
 Site-Clipart                       | Val  Loss: 2.2699 | Val  Acc: 0.2391
 Site-Clipart                       | Val  Loss: 2.2559 | Val  Acc: 0.2230
 Site-Clipart                       | Val  Loss: 2.2598 | Val  Acc: 0.1907
 Site-Painting                      | Val  Loss: 2.2331 | Val  Acc: 0.3659
 Site-Painting                      | Val  Loss: 2.2693 | Val  Acc: 0.4000
 Site-Painting                      | Val  Loss: 2.2278 | Val  Acc: 0.3429
 Site-Painting                      | Val  Loss: 2.2459 | Val  Acc: 0.2381
 Site-Sketch                        | Val  Loss: 2.2567 | Val  Acc: 0.1333
 Site-Sketch                        | Val  Loss: 2.2477 | Val  Acc: 0.2055
 Site-Sketch                        | Val  Loss: 2.2596 | Val  Acc: 0.2222
 Site-Infograph                     | Val  Loss: 2.2932 | Val  Acc: 0.1607
 Site-Infograph                     | Val  Loss: 2.2911 | Val  Acc: 0.1209
 Site-QuickDraw                     | Val  Loss: 2.2876 | Val  Acc: 0.1957
Average Valid Accuracy: 0.2770
 Best site-Real                      | Epoch:3 | Val Acc: 0.4000
 Best site-Real                      | Epoch:3 | Val Acc: 0.6250
 Best site-Real                      | Epoch:3 | Val Acc: 0.3846
 Best site-Real                      | Epoch:3 | Val Acc: 0.3810
 Best site-Real                      | Epoch:3 | Val Acc: 0.4000
 Best site-Real                      | Epoch:3 | Val Acc: 0.3571
 Best site-Real                      | Epoch:3 | Val Acc: 0.2921
 Best site-Real                      | Epoch:3 | Val Acc: 0.2797
 Best site-Real                      | Epoch:3 | Val Acc: 0.3450
