===2023-06-29 10:13:08===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Painting                      | Val  Loss: 0.7658 | Val  Acc: 0.8571
 Site-Painting                      | Val  Loss: 0.7220 | Val  Acc: 0.8810
 Site-Sketch                        | Val  Loss: 1.0022 | Val  Acc: 0.8222
 Site-Sketch                        | Val  Loss: 1.0730 | Val  Acc: 0.6712
 Site-Sketch                        | Val  Loss: 1.0589 | Val  Acc: 0.7094
 Site-Infograph                     | Val  Loss: 1.7391 | Val  Acc: 0.4464
 Site-Infograph                     | Val  Loss: 1.7533 | Val  Acc: 0.4505
 Site-QuickDraw                     | Val  Loss: 2.1854 | Val  Acc: 0.2174
Average Valid Accuracy: 0.8022
 Best site-Real                      | Epoch:1 | Val Acc: 1.0000
 Best site-Real                      | Epoch:1 | Val Acc: 1.0000
 Best site-Real                      | Epoch:1 | Val Acc: 1.0000
 Best site-Real                      | Epoch:1 | Val Acc: 1.0000
 Best site-Real                      | Epoch:1 | Val Acc: 0.9429
 Best site-Real                      | Epoch:1 | Val Acc: 0.9821
 Best site-Real                      | Epoch:1 | Val Acc: 0.9326
 Best site-Real                      | Epoch:1 | Val Acc: 0.9510
 Best site-Real                      | Epoch:1 | Val Acc: 0.9563
 Best site-Real                      | Epoch:1 | Val Acc: 0.9619
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.7143
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8182
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.7778
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6842
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.7935
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8176
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.7669
 Best site-Painting                  | Epoch:1 | Val Acc: 0.7805
 Best site-Painting                  | Epoch:1 | Val Acc: 0.7231
 Best site-Painting                  | Epoch:1 | Val Acc: 0.8571
 Best site-Painting                  | Epoch:1 | Val Acc: 0.8810
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.8222
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.6712
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.7094
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.4464
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.4505
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.2174
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/harmo-fl...
============ Train epoch 2 ============
 Site-Real                          | Train Loss: 0.6136 | Train Acc: 0.7500
 Site-Real                          | Train Loss: 0.4684 | Train Acc: 0.9167
 Site-Real                          | Train Loss: 0.3015 | Train Acc: 0.9500
 Site-Real                          | Train Loss: 0.3596 | Train Acc: 0.9375
 Site-Real                          | Train Loss: 0.4148 | Train Acc: 0.9615
 Site-Real                          | Train Loss: 0.2911 | Train Acc: 0.9762
 Site-Real                          | Train Loss: 0.2104 | Train Acc: 0.9627
 Site-Real                          | Train Loss: 0.2977 | Train Acc: 0.9721
 Site-Real                          | Train Loss: 0.3424 | Train Acc: 0.9652
 Site-Real                          | Train Loss: 0.3216 | Train Acc: 0.9728
 Site-Clipart                       | Train Loss: 0.9939 | Train Acc: 0.5714
 Site-Clipart                       | Train Loss: 0.8250 | Train Acc: 0.7879
 Site-Clipart                       | Train Loss: 0.7799 | Train Acc: 0.7963
 Site-Clipart                       | Train Loss: 0.7896 | Train Acc: 0.8372
 Site-Clipart                       | Train Loss: 0.7675 | Train Acc: 0.8116
 Site-Clipart                       | Train Loss: 0.8281 | Train Acc: 0.7748
 Site-Clipart                       | Train Loss: 0.7910 | Train Acc: 0.8169
 Site-Painting                      | Train Loss: 0.7245 | Train Acc: 0.8033
 Site-Painting                      | Train Loss: 0.5900 | Train Acc: 0.8673
 Site-Painting                      | Train Loss: 0.7060 | Train Acc: 0.8153
 Site-Painting                      | Train Loss: 0.6472 | Train Acc: 0.8373
 Site-Sketch                        | Train Loss: 0.6815 | Train Acc: 0.7647
 Site-Sketch                        | Train Loss: 0.8755 | Train Acc: 0.7545
 Site-Sketch                        | Train Loss: 0.8558 | Train Acc: 0.7443
 Site-Infograph                     | Train Loss: 1.9309 | Train Acc: 0.3412
 Site-Infograph                     | Train Loss: 1.8062 | Train Acc: 0.4412
 Site-QuickDraw                     | Train Loss: 2.0225 | Train Acc: 0.2464
Average Train Accuracy: 0.7917
 Site-Real                          | Val  Loss: 0.0909 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.1130 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2592 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2869 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.4126 | Val  Acc: 0.9714
 Site-Real                          | Val  Loss: 0.3211 | Val  Acc: 0.9821
 Site-Real                          | Val  Loss: 0.3423 | Val  Acc: 0.9888
 Site-Real                          | Val  Loss: 0.4225 | Val  Acc: 0.9510
 Site-Real                          | Val  Loss: 0.3503 | Val  Acc: 0.9607
 Site-Real                          | Val  Loss: 0.3317 | Val  Acc: 0.9564
 Site-Clipart                       | Val  Loss: 0.9279 | Val  Acc: 0.7143
 Site-Clipart                       | Val  Loss: 0.7264 | Val  Acc: 0.8182
 Site-Clipart                       | Val  Loss: 0.7708 | Val  Acc: 0.8056
 Site-Clipart                       | Val  Loss: 0.9251 | Val  Acc: 0.7018
 Site-Clipart                       | Val  Loss: 0.7890 | Val  Acc: 0.8043
 Site-Clipart                       | Val  Loss: 0.6949 | Val  Acc: 0.8378
 Site-Clipart                       | Val  Loss: 0.8559 | Val  Acc: 0.7839
 Site-Painting                      | Val  Loss: 0.9503 | Val  Acc: 0.6585
 Site-Painting                      | Val  Loss: 0.9616 | Val  Acc: 0.7538
 Site-Painting                      | Val  Loss: 0.6257 | Val  Acc: 0.8762
 Site-Painting                      | Val  Loss: 0.5964 | Val  Acc: 0.8452
 Site-Sketch                        | Val  Loss: 0.8526 | Val  Acc: 0.7778
 Site-Sketch                        | Val  Loss: 0.8447 | Val  Acc: 0.7534
 Site-Sketch                        | Val  Loss: 0.9394 | Val  Acc: 0.7009
 Site-Infograph                     | Val  Loss: 1.6718 | Val  Acc: 0.4464
 Site-Infograph                     | Val  Loss: 1.6759 | Val  Acc: 0.4835
 Site-QuickDraw                     | Val  Loss: 2.1576 | Val  Acc: 0.2283
Average Valid Accuracy: 0.8074
 Best site-Real                      | Epoch:2 | Val Acc: 1.0000
 Best site-Real                      | Epoch:2 | Val Acc: 1.0000
 Best site-Real                      | Epoch:2 | Val Acc: 1.0000
 Best site-Real                      | Epoch:2 | Val Acc: 1.0000
 Best site-Real                      | Epoch:2 | Val Acc: 0.9714
 Best site-Real                      | Epoch:2 | Val Acc: 0.9821
 Best site-Real                      | Epoch:2 | Val Acc: 0.9888
 Best site-Real                      | Epoch:2 | Val Acc: 0.9510
 Best site-Real                      | Epoch:2 | Val Acc: 0.9607
 Best site-Real                      | Epoch:2 | Val Acc: 0.9564
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.7143
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8182
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8056
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.7018
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8043
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8378
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.7839
 Best site-Painting                  | Epoch:2 | Val Acc: 0.6585
 Best site-Painting                  | Epoch:2 | Val Acc: 0.7538
 Best site-Painting                  | Epoch:2 | Val Acc: 0.8762
 Best site-Painting                  | Epoch:2 | Val Acc: 0.8452
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.7778
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.7534
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.7009
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.4464
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.4835
 Best site-QuickDraw                 | Epoch:2 | Val Acc: 0.2283
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/harmo-fl...
============ Train epoch 3 ============
 Site-Real                          | Train Loss: 0.5535 | Train Acc: 0.8750
 Site-Real                          | Train Loss: 0.3773 | Train Acc: 0.9167
 Site-Real                          | Train Loss: 0.1942 | Train Acc: 0.9500
 Site-Real                          | Train Loss: 0.2468 | Train Acc: 1.0000
 Site-Real                          | Train Loss: 0.3532 | Train Acc: 0.9423
 Site-Real                          | Train Loss: 0.1651 | Train Acc: 0.9643
 Site-Real                          | Train Loss: 0.1502 | Train Acc: 0.9776
 Site-Real                          | Train Loss: 0.2022 | Train Acc: 0.9674
 Site-Real                          | Train Loss: 0.2566 | Train Acc: 0.9652
 Site-Real                          | Train Loss: 0.2328 | Train Acc: 0.9801
 Site-Clipart                       | Train Loss: 0.9716 | Train Acc: 0.6190
 Site-Clipart                       | Train Loss: 0.7566 | Train Acc: 0.7576
 Site-Clipart                       | Train Loss: 0.7113 | Train Acc: 0.7963
 Site-Clipart                       | Train Loss: 0.6702 | Train Acc: 0.8488
 Site-Clipart                       | Train Loss: 0.6691 | Train Acc: 0.8406
 Site-Clipart                       | Train Loss: 0.6831 | Train Acc: 0.8108
 Site-Clipart                       | Train Loss: 0.6503 | Train Acc: 0.8366
 Site-Painting                      | Train Loss: 0.5811 | Train Acc: 0.8361
 Site-Painting                      | Train Loss: 0.5096 | Train Acc: 0.8571
 Site-Painting                      | Train Loss: 0.5525 | Train Acc: 0.8408
 Site-Painting                      | Train Loss: 0.5590 | Train Acc: 0.8452
 Site-Sketch                        | Train Loss: 1.2015 | Train Acc: 0.7794
 Site-Sketch                        | Train Loss: 0.7398 | Train Acc: 0.7636
 Site-Sketch                        | Train Loss: 0.8252 | Train Acc: 0.7614
 Site-Infograph                     | Train Loss: 1.9104 | Train Acc: 0.3882
 Site-Infograph                     | Train Loss: 1.4459 | Train Acc: 0.4485
 Site-QuickDraw                     | Train Loss: 2.0006 | Train Acc: 0.3188
Average Train Accuracy: 0.8107
 Site-Real                          | Val  Loss: 0.0420 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.0637 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.1300 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2571 | Val  Acc: 0.9524
