===2023-07-01 07:46:01===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Painting                      | Train Loss: 0.8170 | Train Acc: 0.8294
 Site-Sketch                        | Train Loss: 0.8450 | Train Acc: 0.7059
 Site-Sketch                        | Train Loss: 0.9756 | Train Acc: 0.7364
 Site-Sketch                        | Train Loss: 1.0189 | Train Acc: 0.7557
 Site-Infograph                     | Train Loss: 1.8619 | Train Acc: 0.3765
 Site-Infograph                     | Train Loss: 1.7033 | Train Acc: 0.4265
 Site-QuickDraw                     | Train Loss: 2.0571 | Train Acc: 0.2681
Average Train Accuracy: 0.8055
 Site-Real                          | Val  Loss: 0.2250 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2967 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.4636 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.4554 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.6627 | Val  Acc: 0.9714
 Site-Real                          | Val  Loss: 0.5452 | Val  Acc: 0.9821
 Site-Real                          | Val  Loss: 0.5395 | Val  Acc: 0.9326
 Site-Real                          | Val  Loss: 0.6025 | Val  Acc: 0.9510
 Site-Real                          | Val  Loss: 0.5267 | Val  Acc: 0.9563
 Site-Real                          | Val  Loss: 0.4843 | Val  Acc: 0.9728
 Site-Clipart                       | Val  Loss: 1.0929 | Val  Acc: 0.7143
 Site-Clipart                       | Val  Loss: 0.8586 | Val  Acc: 0.9091
 Site-Clipart                       | Val  Loss: 1.0070 | Val  Acc: 0.7778
 Site-Clipart                       | Val  Loss: 1.0923 | Val  Acc: 0.7193
 Site-Clipart                       | Val  Loss: 1.0429 | Val  Acc: 0.7826
 Site-Clipart                       | Val  Loss: 0.9083 | Val  Acc: 0.8446
 Site-Clipart                       | Val  Loss: 1.0558 | Val  Acc: 0.7924
 Site-Painting                      | Val  Loss: 1.0532 | Val  Acc: 0.7805
 Site-Painting                      | Val  Loss: 1.1919 | Val  Acc: 0.7538
 Site-Painting                      | Val  Loss: 0.7467 | Val  Acc: 0.8857
 Site-Painting                      | Val  Loss: 0.7237 | Val  Acc: 0.8869
 Site-Sketch                        | Val  Loss: 1.0060 | Val  Acc: 0.7778
 Site-Sketch                        | Val  Loss: 1.0588 | Val  Acc: 0.6438
 Site-Sketch                        | Val  Loss: 1.0792 | Val  Acc: 0.6667
 Site-Infograph                     | Val  Loss: 1.6627 | Val  Acc: 0.5000
 Site-Infograph                     | Val  Loss: 1.7183 | Val  Acc: 0.4396
 Site-QuickDraw                     | Val  Loss: 2.1707 | Val  Acc: 0.2283
Average Valid Accuracy: 0.8100
 Best site-Real                      | Epoch:1 | Val Acc: 1.0000
 Best site-Real                      | Epoch:1 | Val Acc: 1.0000
 Best site-Real                      | Epoch:1 | Val Acc: 1.0000
 Best site-Real                      | Epoch:1 | Val Acc: 1.0000
 Best site-Real                      | Epoch:1 | Val Acc: 0.9714
 Best site-Real                      | Epoch:1 | Val Acc: 0.9821
 Best site-Real                      | Epoch:1 | Val Acc: 0.9326
 Best site-Real                      | Epoch:1 | Val Acc: 0.9510
 Best site-Real                      | Epoch:1 | Val Acc: 0.9563
 Best site-Real                      | Epoch:1 | Val Acc: 0.9728
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.7143
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.9091
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.7778
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.7193
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.7826
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8446
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.7924
 Best site-Painting                  | Epoch:1 | Val Acc: 0.7805
 Best site-Painting                  | Epoch:1 | Val Acc: 0.7538
 Best site-Painting                  | Epoch:1 | Val Acc: 0.8857
 Best site-Painting                  | Epoch:1 | Val Acc: 0.8869
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.7778
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.6438
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.6667
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.5000
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.4396
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.2283
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/fedsam...
============ Train epoch 2 ============
 Site-Real                          | Train Loss: 0.5818 | Train Acc: 0.7500
 Site-Real                          | Train Loss: 0.4237 | Train Acc: 0.9167
 Site-Real                          | Train Loss: 0.3119 | Train Acc: 0.9500
 Site-Real                          | Train Loss: 0.3288 | Train Acc: 0.9375
 Site-Real                          | Train Loss: 0.3783 | Train Acc: 0.9808
 Site-Real                          | Train Loss: 0.2949 | Train Acc: 0.9643
 Site-Real                          | Train Loss: 0.1940 | Train Acc: 0.9776
 Site-Real                          | Train Loss: 0.2763 | Train Acc: 0.9674
 Site-Real                          | Train Loss: 0.3233 | Train Acc: 0.9710
 Site-Real                          | Train Loss: 0.3015 | Train Acc: 0.9746
 Site-Clipart                       | Train Loss: 0.9179 | Train Acc: 0.7143
 Site-Clipart                       | Train Loss: 0.7613 | Train Acc: 0.8485
 Site-Clipart                       | Train Loss: 0.7504 | Train Acc: 0.7778
 Site-Clipart                       | Train Loss: 0.7593 | Train Acc: 0.8721
 Site-Clipart                       | Train Loss: 0.7293 | Train Acc: 0.8043
 Site-Clipart                       | Train Loss: 0.8165 | Train Acc: 0.8063
 Site-Clipart                       | Train Loss: 0.7813 | Train Acc: 0.8085
 Site-Painting                      | Train Loss: 0.6917 | Train Acc: 0.8361
 Site-Painting                      | Train Loss: 0.5528 | Train Acc: 0.8776
 Site-Painting                      | Train Loss: 0.6846 | Train Acc: 0.8089
 Site-Painting                      | Train Loss: 0.6298 | Train Acc: 0.8413
 Site-Sketch                        | Train Loss: 0.6991 | Train Acc: 0.7500
 Site-Sketch                        | Train Loss: 0.8892 | Train Acc: 0.7545
 Site-Sketch                        | Train Loss: 0.8317 | Train Acc: 0.7443
 Site-Infograph                     | Train Loss: 1.9143 | Train Acc: 0.3882
 Site-Infograph                     | Train Loss: 1.7704 | Train Acc: 0.4118
 Site-QuickDraw                     | Train Loss: 1.9829 | Train Acc: 0.2609
Average Train Accuracy: 0.8035
 Site-Real                          | Val  Loss: 0.0544 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.0939 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2298 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2562 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.3894 | Val  Acc: 0.9714
 Site-Real                          | Val  Loss: 0.2914 | Val  Acc: 0.9821
 Site-Real                          | Val  Loss: 0.3112 | Val  Acc: 0.9888
 Site-Real                          | Val  Loss: 0.3879 | Val  Acc: 0.9441
 Site-Real                          | Val  Loss: 0.3252 | Val  Acc: 0.9607
 Site-Real                          | Val  Loss: 0.3163 | Val  Acc: 0.9673
 Site-Clipart                       | Val  Loss: 0.9265 | Val  Acc: 0.7143
 Site-Clipart                       | Val  Loss: 0.7117 | Val  Acc: 0.8636
 Site-Clipart                       | Val  Loss: 0.7707 | Val  Acc: 0.8333
 Site-Clipart                       | Val  Loss: 0.9028 | Val  Acc: 0.7368
 Site-Clipart                       | Val  Loss: 0.8009 | Val  Acc: 0.8043
 Site-Clipart                       | Val  Loss: 0.7022 | Val  Acc: 0.8446
 Site-Clipart                       | Val  Loss: 0.8501 | Val  Acc: 0.8008
 Site-Painting                      | Val  Loss: 0.9331 | Val  Acc: 0.6829
 Site-Painting                      | Val  Loss: 0.9494 | Val  Acc: 0.7846
 Site-Painting                      | Val  Loss: 0.5817 | Val  Acc: 0.8762
 Site-Painting                      | Val  Loss: 0.5702 | Val  Acc: 0.8512
 Site-Sketch                        | Val  Loss: 0.8412 | Val  Acc: 0.7778
 Site-Sketch                        | Val  Loss: 0.8515 | Val  Acc: 0.7534
 Site-Sketch                        | Val  Loss: 0.9321 | Val  Acc: 0.6838
 Site-Infograph                     | Val  Loss: 1.6353 | Val  Acc: 0.5000
 Site-Infograph                     | Val  Loss: 1.6643 | Val  Acc: 0.4725
 Site-QuickDraw                     | Val  Loss: 2.1460 | Val  Acc: 0.2826
Average Valid Accuracy: 0.8177
 Best site-Real                      | Epoch:2 | Val Acc: 1.0000
 Best site-Real                      | Epoch:2 | Val Acc: 1.0000
 Best site-Real                      | Epoch:2 | Val Acc: 1.0000
 Best site-Real                      | Epoch:2 | Val Acc: 1.0000
 Best site-Real                      | Epoch:2 | Val Acc: 0.9714
 Best site-Real                      | Epoch:2 | Val Acc: 0.9821
 Best site-Real                      | Epoch:2 | Val Acc: 0.9888
 Best site-Real                      | Epoch:2 | Val Acc: 0.9441
 Best site-Real                      | Epoch:2 | Val Acc: 0.9607
 Best site-Real                      | Epoch:2 | Val Acc: 0.9673
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.7143
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8636
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8333
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.7368
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8043
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8446
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8008
 Best site-Painting                  | Epoch:2 | Val Acc: 0.6829
 Best site-Painting                  | Epoch:2 | Val Acc: 0.7846
 Best site-Painting                  | Epoch:2 | Val Acc: 0.8762
 Best site-Painting                  | Epoch:2 | Val Acc: 0.8512
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.7778
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.7534
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.6838
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.5000
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.4725
 Best site-QuickDraw                 | Epoch:2 | Val Acc: 0.2826
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/fedsam...
============ Train epoch 3 ============
 Site-Real                          | Train Loss: 0.5381 | Train Acc: 0.8750
 Site-Real                          | Train Loss: 0.3856 | Train Acc: 0.9167
 Site-Real                          | Train Loss: 0.1956 | Train Acc: 1.0000
 Site-Real                          | Train Loss: 0.2719 | Train Acc: 0.9688
 Site-Real                          | Train Loss: 0.3200 | Train Acc: 0.9808
 Site-Real                          | Train Loss: 0.1666 | Train Acc: 0.9643
 Site-Real                          | Train Loss: 0.1365 | Train Acc: 0.9851
 Site-Real                          | Train Loss: 0.1906 | Train Acc: 0.9628
 Site-Real                          | Train Loss: 0.2413 | Train Acc: 0.9739
 Site-Real                          | Train Loss: 0.2187 | Train Acc: 0.9783
 Site-Clipart                       | Train Loss: 0.9187 | Train Acc: 0.6667
 Site-Clipart                       | Train Loss: 0.6525 | Train Acc: 0.8182
 Site-Clipart                       | Train Loss: 0.7022 | Train Acc: 0.7593
 Site-Clipart                       | Train Loss: 0.6381 | Train Acc: 0.8721
 Site-Clipart                       | Train Loss: 0.7002 | Train Acc: 0.8623
 Site-Clipart                       | Train Loss: 0.6672 | Train Acc: 0.8243
 Site-Clipart                       | Train Loss: 0.6369 | Train Acc: 0.8507
 Site-Painting                      | Train Loss: 0.5697 | Train Acc: 0.8525
 Site-Painting                      | Train Loss: 0.4750 | Train Acc: 0.8571
 Site-Painting                      | Train Loss: 0.5490 | Train Acc: 0.8726
 Site-Painting                      | Train Loss: 0.5472 | Train Acc: 0.8452
 Site-Sketch                        | Train Loss: 1.3354 | Train Acc: 0.7353
 Site-Sketch                        | Train Loss: 0.7903 | Train Acc: 0.7273
 Site-Sketch                        | Train Loss: 0.8027 | Train Acc: 0.7386
 Site-Infograph                     | Train Loss: 1.8754 | Train Acc: 0.4000
 Site-Infograph                     | Train Loss: 1.4074 | Train Acc: 0.4559
 Site-QuickDraw                     | Train Loss: 1.9587 | Train Acc: 0.3333
Average Train Accuracy: 0.8177
 Site-Real                          | Val  Loss: 0.0378 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.0542 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.1214 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2591 | Val  Acc: 0.9048
 Site-Real                          | Val  Loss: 0.3125 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2317 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2263 | Val  Acc: 0.9551
 Site-Real                          | Val  Loss: 0.2883 | Val  Acc: 0.9371
 Site-Real                          | Val  Loss: 0.2491 | Val  Acc: 0.9651
 Site-Real                          | Val  Loss: 0.2178 | Val  Acc: 0.9700
 Site-Clipart                       | Val  Loss: 0.6952 | Val  Acc: 0.8571
 Site-Clipart                       | Val  Loss: 0.6233 | Val  Acc: 0.8636
 Site-Clipart                       | Val  Loss: 0.6544 | Val  Acc: 0.8333
 Site-Clipart                       | Val  Loss: 0.7628 | Val  Acc: 0.7895
 Site-Clipart                       | Val  Loss: 0.7560 | Val  Acc: 0.7935
 Site-Clipart                       | Val  Loss: 0.5734 | Val  Acc: 0.8716
 Site-Clipart                       | Val  Loss: 0.7372 | Val  Acc: 0.8093
