===2023-06-30 02:24:36===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Val  Loss: 0.8661 | Val  Acc: 0.8254
 Site-SynthDigits                   | Val  Loss: 1.8377 | Val  Acc: 0.4865
 Site-SynthDigits                   | Val  Loss: 2.0103 | Val  Acc: 0.4559
 Site-SynthDigits                   | Val  Loss: 1.8690 | Val  Acc: 0.4344
 Site-SVHN                          | Val  Loss: 2.1244 | Val  Acc: 0.3111
 Site-SVHN                          | Val  Loss: 2.1310 | Val  Acc: 0.3086
 Site-MNIST_M                       | Val  Loss: 2.0559 | Val  Acc: 0.3571
Average Valid Accuracy: 0.6571
 Best site-USPS                      | Epoch:1 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:1 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:1 | Val Acc: 0.9032
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8750
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8922
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8525
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8429
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7778
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7500
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7586
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8095
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8254
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.4865
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.4559
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.4344
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.3111
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.3086
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.3571
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/drfl...
============ Train epoch 2 ============
 Site-USPS                          | Train Loss: 0.3876 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.4985 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.8548 | Train Acc: 0.7619
 Site-USPS                          | Train Loss: 0.6492 | Train Acc: 0.8158
 Site-USPS                          | Train Loss: 0.5341 | Train Acc: 0.9000
 Site-USPS                          | Train Loss: 0.5556 | Train Acc: 0.8810
 Site-USPS                          | Train Loss: 0.6532 | Train Acc: 0.8370
 Site-USPS                          | Train Loss: 0.5746 | Train Acc: 0.8582
 Site-USPS                          | Train Loss: 0.5852 | Train Acc: 0.8736
 Site-USPS                          | Train Loss: 0.5465 | Train Acc: 0.8823
 Site-MNIST                         | Train Loss: 0.8185 | Train Acc: 0.8000
 Site-MNIST                         | Train Loss: 0.8186 | Train Acc: 0.8611
 Site-MNIST                         | Train Loss: 0.6176 | Train Acc: 0.7829
 Site-MNIST                         | Train Loss: 0.7910 | Train Acc: 0.8026
 Site-MNIST                         | Train Loss: 0.8716 | Train Acc: 0.7500
 Site-MNIST                         | Train Loss: 0.8477 | Train Acc: 0.7778
 Site-SynthDigits                   | Train Loss: 1.7155 | Train Acc: 0.4305
 Site-SynthDigits                   | Train Loss: 1.6316 | Train Acc: 0.5128
 Site-SynthDigits                   | Train Loss: 1.5434 | Train Acc: 0.5336
 Site-SVHN                          | Train Loss: 2.0960 | Train Acc: 0.2818
 Site-SVHN                          | Train Loss: 1.9828 | Train Acc: 0.3364
 Site-MNIST_M                       | Train Loss: 1.9393 | Train Acc: 0.3475
Average Train Accuracy: 0.7247
 Site-USPS                          | Val  Loss: 2.3692 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.5424 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 0.9589 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.5153 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.5455 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.4682 | Val  Acc: 0.9032
 Site-USPS                          | Val  Loss: 0.5041 | Val  Acc: 0.8750
 Site-USPS                          | Val  Loss: 0.5376 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.6019 | Val  Acc: 0.8525
 Site-USPS                          | Val  Loss: 0.6192 | Val  Acc: 0.8399
 Site-MNIST                         | Val  Loss: 0.9122 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.8673 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 0.8320 | Val  Acc: 0.7500
 Site-MNIST                         | Val  Loss: 0.8961 | Val  Acc: 0.7586
 Site-MNIST                         | Val  Loss: 0.8205 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.7728 | Val  Acc: 0.8307
 Site-SynthDigits                   | Val  Loss: 1.6212 | Val  Acc: 0.5946
 Site-SynthDigits                   | Val  Loss: 1.6972 | Val  Acc: 0.5588
 Site-SynthDigits                   | Val  Loss: 1.6788 | Val  Acc: 0.5000
 Site-SVHN                          | Val  Loss: 2.0661 | Val  Acc: 0.2889
 Site-SVHN                          | Val  Loss: 2.0186 | Val  Acc: 0.3333
 Site-MNIST_M                       | Val  Loss: 1.9587 | Val  Acc: 0.4143
Average Valid Accuracy: 0.6716
 Best site-USPS                      | Epoch:2 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:2 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:2 | Val Acc: 0.9032
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8750
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8525
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8399
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7778
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7500
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7586
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8307
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.5946
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.5588
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.5000
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.2889
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.3333
 Best site-MNIST_M                   | Epoch:2 | Val Acc: 0.4143
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/drfl...
============ Train epoch 3 ============
 Site-USPS                          | Train Loss: 0.2661 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.3761 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.8029 | Train Acc: 0.7143
 Site-USPS                          | Train Loss: 0.5877 | Train Acc: 0.8158
 Site-USPS                          | Train Loss: 0.5955 | Train Acc: 0.9000
 Site-USPS                          | Train Loss: 0.4762 | Train Acc: 0.8651
 Site-USPS                          | Train Loss: 0.5766 | Train Acc: 0.8326
 Site-USPS                          | Train Loss: 0.5303 | Train Acc: 0.8533
 Site-USPS                          | Train Loss: 0.5127 | Train Acc: 0.8804
 Site-USPS                          | Train Loss: 0.4758 | Train Acc: 0.8868
 Site-MNIST                         | Train Loss: 0.6959 | Train Acc: 0.8500
 Site-MNIST                         | Train Loss: 0.5317 | Train Acc: 0.9028
 Site-MNIST                         | Train Loss: 0.7495 | Train Acc: 0.7674
 Site-MNIST                         | Train Loss: 0.7051 | Train Acc: 0.8112
 Site-MNIST                         | Train Loss: 0.7635 | Train Acc: 0.7762
 Site-MNIST                         | Train Loss: 0.7484 | Train Acc: 0.8056
 Site-SynthDigits                   | Train Loss: 1.5266 | Train Acc: 0.4371
 Site-SynthDigits                   | Train Loss: 1.5446 | Train Acc: 0.5275
 Site-SynthDigits                   | Train Loss: 1.4009 | Train Acc: 0.5866
 Site-SVHN                          | Train Loss: 2.0437 | Train Acc: 0.3039
 Site-SVHN                          | Train Loss: 1.8874 | Train Acc: 0.3578
 Site-MNIST_M                       | Train Loss: 1.8121 | Train Acc: 0.4433
Average Train Accuracy: 0.7379
 Site-USPS                          | Val  Loss: 2.2515 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.5763 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 0.9021 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.4580 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.4886 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.4175 | Val  Acc: 0.9032
 Site-USPS                          | Val  Loss: 0.4314 | Val  Acc: 0.8750
 Site-USPS                          | Val  Loss: 0.4687 | Val  Acc: 0.8627
 Site-USPS                          | Val  Loss: 0.5354 | Val  Acc: 0.8415
 Site-USPS                          | Val  Loss: 0.5494 | Val  Acc: 0.8369
 Site-MNIST                         | Val  Loss: 0.8507 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.8090 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 0.7513 | Val  Acc: 0.7500
 Site-MNIST                         | Val  Loss: 0.7885 | Val  Acc: 0.7759
 Site-MNIST                         | Val  Loss: 0.7338 | Val  Acc: 0.8095
 Site-MNIST                         | Val  Loss: 0.6913 | Val  Acc: 0.8201
 Site-SynthDigits                   | Val  Loss: 1.4814 | Val  Acc: 0.5676
 Site-SynthDigits                   | Val  Loss: 1.5443 | Val  Acc: 0.5735
 Site-SynthDigits                   | Val  Loss: 1.5483 | Val  Acc: 0.5410
 Site-SVHN                          | Val  Loss: 2.0020 | Val  Acc: 0.3111
 Site-SVHN                          | Val  Loss: 1.9468 | Val  Acc: 0.3704
 Site-MNIST_M                       | Val  Loss: 1.8041 | Val  Acc: 0.5429
Average Valid Accuracy: 0.6807
 Best site-USPS                      | Epoch:3 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:3 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:3 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:3 | Val Acc: 0.9032
 Best site-USPS                      | Epoch:3 | Val Acc: 0.8750
 Best site-USPS                      | Epoch:3 | Val Acc: 0.8627
 Best site-USPS                      | Epoch:3 | Val Acc: 0.8415
 Best site-USPS                      | Epoch:3 | Val Acc: 0.8369
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.7778
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.7500
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.7759
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8095
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8201
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.5676
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.5735
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.5410
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.3111
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.3704
 Best site-MNIST_M                   | Epoch:3 | Val Acc: 0.5429
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/drfl...
============ Train epoch 4 ============
 Site-USPS                          | Train Loss: 0.2817 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.3753 | Train Acc: 0.8333
 Site-USPS                          | Train Loss: 0.9234 | Train Acc: 0.8095
 Site-USPS                          | Train Loss: 0.6019 | Train Acc: 0.7632
 Site-USPS                          | Train Loss: 0.6785 | Train Acc: 0.8429
 Site-USPS                          | Train Loss: 0.5212 | Train Acc: 0.8492
 Site-USPS                          | Train Loss: 0.5956 | Train Acc: 0.8282
 Site-USPS                          | Train Loss: 0.5115 | Train Acc: 0.8460
 Site-USPS                          | Train Loss: 0.5314 | Train Acc: 0.8573
 Site-USPS                          | Train Loss: 0.5027 | Train Acc: 0.8619
 Site-MNIST                         | Train Loss: 0.6157 | Train Acc: 0.8750
 Site-MNIST                         | Train Loss: 0.4903 | Train Acc: 0.8889
 Site-MNIST                         | Train Loss: 0.6375 | Train Acc: 0.7752
 Site-MNIST                         | Train Loss: 0.6293 | Train Acc: 0.8326
 Site-MNIST                         | Train Loss: 0.7366 | Train Acc: 0.7952
 Site-MNIST                         | Train Loss: 0.6915 | Train Acc: 0.8135
 Site-SynthDigits                   | Train Loss: 1.5411 | Train Acc: 0.4967
 Site-SynthDigits                   | Train Loss: 1.3565 | Train Acc: 0.5788
 Site-SynthDigits                   | Train Loss: 1.2743 | Train Acc: 0.6110
 Site-SVHN                          | Train Loss: 1.9748 | Train Acc: 0.3094
 Site-SVHN                          | Train Loss: 1.8557 | Train Acc: 0.3945
 Site-MNIST_M                       | Train Loss: 1.7088 | Train Acc: 0.4504
Average Train Accuracy: 0.7415
 Site-USPS                          | Val  Loss: 3.0216 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.6550 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 1.0675 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.4511 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.5099 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.3697 | Val  Acc: 0.9032
 Site-USPS                          | Val  Loss: 0.4050 | Val  Acc: 0.8929
 Site-USPS                          | Val  Loss: 0.4527 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.5361 | Val  Acc: 0.8470
 Site-USPS                          | Val  Loss: 0.5524 | Val  Acc: 0.8308
 Site-MNIST                         | Val  Loss: 0.6781 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.7049 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 0.6724 | Val  Acc: 0.7500
 Site-MNIST                         | Val  Loss: 0.7435 | Val  Acc: 0.7759
 Site-MNIST                         | Val  Loss: 0.6777 | Val  Acc: 0.8190
 Site-MNIST                         | Val  Loss: 0.6349 | Val  Acc: 0.8360
 Site-SynthDigits                   | Val  Loss: 1.3622 | Val  Acc: 0.6216
 Site-SynthDigits                   | Val  Loss: 1.3506 | Val  Acc: 0.6176
 Site-SynthDigits                   | Val  Loss: 1.4156 | Val  Acc: 0.5656
 Site-SVHN                          | Val  Loss: 1.9450 | Val  Acc: 0.3556
 Site-SVHN                          | Val  Loss: 1.8846 | Val  Acc: 0.3704
 Site-MNIST_M                       | Val  Loss: 1.8606 | Val  Acc: 0.4857
Average Valid Accuracy: 0.6885
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:4 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:4 | Val Acc: 0.9032
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8929
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8470
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8308
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.7778
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.7500
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.7759
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8190
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8360
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.6216
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.6176
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.5656
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.3556
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.3704
 Best site-MNIST_M                   | Epoch:4 | Val Acc: 0.4857
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/drfl...
============ Train epoch 5 ============
 Site-USPS                          | Train Loss: 0.2647 | Train Acc: 0.8333
 Site-USPS                          | Train Loss: 0.2982 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.8018 | Train Acc: 0.8571
 Site-USPS                          | Train Loss: 0.5556 | Train Acc: 0.8158
 Site-USPS                          | Train Loss: 0.6386 | Train Acc: 0.9143
 Site-USPS                          | Train Loss: 0.4470 | Train Acc: 0.8810
 Site-USPS                          | Train Loss: 0.5259 | Train Acc: 0.8590
 Site-USPS                          | Train Loss: 0.4768 | Train Acc: 0.8729
 Site-USPS                          | Train Loss: 0.4563 | Train Acc: 0.8804
 Site-USPS                          | Train Loss: 0.4342 | Train Acc: 0.8853
 Site-MNIST                         | Train Loss: 0.6066 | Train Acc: 0.8000
 Site-MNIST                         | Train Loss: 0.6467 | Train Acc: 0.9028
 Site-MNIST                         | Train Loss: 0.4841 | Train Acc: 0.7829
 Site-MNIST                         | Train Loss: 0.5829 | Train Acc: 0.8455
 Site-MNIST                         | Train Loss: 0.6471 | Train Acc: 0.7976
 Site-MNIST                         | Train Loss: 0.6389 | Train Acc: 0.8148
 Site-SynthDigits                   | Train Loss: 1.4059 | Train Acc: 0.5497
 Site-SynthDigits                   | Train Loss: 1.2979 | Train Acc: 0.5934
 Site-SynthDigits                   | Train Loss: 1.2029 | Train Acc: 0.6314
 Site-SVHN                          | Train Loss: 1.9102 | Train Acc: 0.3149
 Site-SVHN                          | Train Loss: 1.7148 | Train Acc: 0.4220
 Site-MNIST_M                       | Train Loss: 1.6171 | Train Acc: 0.4716
Average Train Accuracy: 0.7565
 Site-USPS                          | Val  Loss: 2.6972 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.4661 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 0.9086 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.3614 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.4175 | Val  Acc: 0.9412
 Site-USPS                          | Val  Loss: 0.3144 | Val  Acc: 0.9355
 Site-USPS                          | Val  Loss: 0.3493 | Val  Acc: 0.9286
 Site-USPS                          | Val  Loss: 0.4011 | Val  Acc: 0.8922
