===2023-06-29 14:14:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1912
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1066
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.0667
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.0988
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.1286
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/gifair...
============ Train epoch 2 ============
 Site-USPS                          | Train Loss: 2.1237 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1452 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1978 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.1755 | Train Acc: 0.3947
 Site-USPS                          | Train Loss: 2.1921 | Train Acc: 0.4571
 Site-USPS                          | Train Loss: 2.1649 | Train Acc: 0.4286
 Site-USPS                          | Train Loss: 2.1598 | Train Acc: 0.4185
 Site-USPS                          | Train Loss: 2.1690 | Train Acc: 0.4132
 Site-USPS                          | Train Loss: 2.1650 | Train Acc: 0.4321
 Site-USPS                          | Train Loss: 2.1580 | Train Acc: 0.4415
 Site-MNIST                         | Train Loss: 2.2330 | Train Acc: 0.1500
 Site-MNIST                         | Train Loss: 2.2047 | Train Acc: 0.3472
 Site-MNIST                         | Train Loss: 2.2448 | Train Acc: 0.2326
 Site-MNIST                         | Train Loss: 2.2160 | Train Acc: 0.2790
 Site-MNIST                         | Train Loss: 2.2316 | Train Acc: 0.2333
 Site-MNIST                         | Train Loss: 2.2271 | Train Acc: 0.2262
 Site-SynthDigits                   | Train Loss: 2.2919 | Train Acc: 0.1656
 Site-SynthDigits                   | Train Loss: 2.2894 | Train Acc: 0.1319
 Site-SynthDigits                   | Train Loss: 2.2865 | Train Acc: 0.1833
 Site-SVHN                          | Train Loss: 2.2911 | Train Acc: 0.0829
 Site-SVHN                          | Train Loss: 2.3026 | Train Acc: 0.1376
 Site-MNIST_M                       | Train Loss: 2.3054 | Train Acc: 0.1135
Average Train Accuracy: 0.3001
 Site-USPS                          | Val  Loss: 2.3703 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2933 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2475 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2021 | Val  Acc: 0.2222
 Site-USPS                          | Val  Loss: 2.2285 | Val  Acc: 0.2353
 Site-USPS                          | Val  Loss: 2.1918 | Val  Acc: 0.3226
 Site-USPS                          | Val  Loss: 2.1710 | Val  Acc: 0.3750
 Site-USPS                          | Val  Loss: 2.1503 | Val  Acc: 0.4510
 Site-USPS                          | Val  Loss: 2.1762 | Val  Acc: 0.4153
 Site-USPS                          | Val  Loss: 2.1745 | Val  Acc: 0.4109
 Site-MNIST                         | Val  Loss: 2.2174 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.2125 | Val  Acc: 0.2222
 Site-MNIST                         | Val  Loss: 2.2085 | Val  Acc: 0.2812
 Site-MNIST                         | Val  Loss: 2.2197 | Val  Acc: 0.2586
 Site-MNIST                         | Val  Loss: 2.2186 | Val  Acc: 0.2952
 Site-MNIST                         | Val  Loss: 2.2202 | Val  Acc: 0.2857
 Site-SynthDigits                   | Val  Loss: 2.2992 | Val  Acc: 0.1892
 Site-SynthDigits                   | Val  Loss: 2.3245 | Val  Acc: 0.2059
 Site-SynthDigits                   | Val  Loss: 2.2846 | Val  Acc: 0.1311
 Site-SVHN                          | Val  Loss: 2.3004 | Val  Acc: 0.0667
 Site-SVHN                          | Val  Loss: 2.2921 | Val  Acc: 0.0864
 Site-MNIST_M                       | Val  Loss: 2.3041 | Val  Acc: 0.1571
Average Valid Accuracy: 0.2187
============ Train epoch 3 ============
 Site-USPS                          | Train Loss: 2.0711 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0967 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1656 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.1382 | Train Acc: 0.3684
 Site-USPS                          | Train Loss: 2.1480 | Train Acc: 0.4571
 Site-USPS                          | Train Loss: 2.1216 | Train Acc: 0.4444
 Site-USPS                          | Train Loss: 2.1279 | Train Acc: 0.4317
 Site-USPS                          | Train Loss: 2.1324 | Train Acc: 0.4156
 Site-USPS                          | Train Loss: 2.1196 | Train Acc: 0.4334
 Site-USPS                          | Train Loss: 2.1142 | Train Acc: 0.4566
 Site-MNIST                         | Train Loss: 2.2122 | Train Acc: 0.2250
 Site-MNIST                         | Train Loss: 2.1355 | Train Acc: 0.4167
 Site-MNIST                         | Train Loss: 2.2271 | Train Acc: 0.2636
 Site-MNIST                         | Train Loss: 2.1903 | Train Acc: 0.3262
 Site-MNIST                         | Train Loss: 2.2093 | Train Acc: 0.2810
 Site-MNIST                         | Train Loss: 2.2026 | Train Acc: 0.2632
 Site-SynthDigits                   | Train Loss: 2.2885 | Train Acc: 0.1656
 Site-SynthDigits                   | Train Loss: 2.2843 | Train Acc: 0.1538
 Site-SynthDigits                   | Train Loss: 2.2800 | Train Acc: 0.1955
 Site-SVHN                          | Train Loss: 2.2883 | Train Acc: 0.0829
 Site-SVHN                          | Train Loss: 2.2875 | Train Acc: 0.1468
 Site-MNIST_M                       | Train Loss: 2.2969 | Train Acc: 0.1312
Average Train Accuracy: 0.3178
 Site-USPS                          | Val  Loss: 2.3889 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2979 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2365 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.1705 | Val  Acc: 0.2222
