===2023-06-30 00:57:41===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-SynthDigits                   | Val  Loss: 1.5866 | Val  Acc: 0.5135
 Site-SynthDigits                   | Val  Loss: 1.6840 | Val  Acc: 0.4706
 Site-SynthDigits                   | Val  Loss: 1.6739 | Val  Acc: 0.4344
 Site-SVHN                          | Val  Loss: 2.1175 | Val  Acc: 0.3333
 Site-SVHN                          | Val  Loss: 2.0516 | Val  Acc: 0.3333
 Site-MNIST_M                       | Val  Loss: 1.8948 | Val  Acc: 0.5000
Average Valid Accuracy: 0.6519
 Best site-USPS                      | Epoch:2 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:2 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:2 | Val Acc: 0.9032
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8571
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8627
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8579
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8429
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7222
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6875
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7241
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7905
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7937
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.5135
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.4706
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.4344
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.3333
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.3333
 Best site-MNIST_M                   | Epoch:2 | Val Acc: 0.5000
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/afl...
============ Train epoch 3 ============
 Site-USPS                          | Train Loss: 0.2136 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.3926 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.7794 | Train Acc: 0.8095
 Site-USPS                          | Train Loss: 0.5033 | Train Acc: 0.8421
 Site-USPS                          | Train Loss: 0.5693 | Train Acc: 0.9000
 Site-USPS                          | Train Loss: 0.4624 | Train Acc: 0.8968
 Site-USPS                          | Train Loss: 0.5675 | Train Acc: 0.8634
 Site-USPS                          | Train Loss: 0.4739 | Train Acc: 0.8949
 Site-USPS                          | Train Loss: 0.4661 | Train Acc: 0.8954
 Site-USPS                          | Train Loss: 0.4359 | Train Acc: 0.9117
 Site-MNIST                         | Train Loss: 0.7878 | Train Acc: 0.7250
 Site-MNIST                         | Train Loss: 0.5225 | Train Acc: 0.8750
