===2023-06-30 07:31:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 0.3086 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.7287 | Train Acc: 0.8095
 Site-USPS                          | Train Loss: 0.4257 | Train Acc: 0.8947
 Site-USPS                          | Train Loss: 0.4727 | Train Acc: 0.9000
 Site-USPS                          | Train Loss: 0.3597 | Train Acc: 0.8889
 Site-USPS                          | Train Loss: 0.4597 | Train Acc: 0.8502
 Site-USPS                          | Train Loss: 0.3847 | Train Acc: 0.8875
 Site-USPS                          | Train Loss: 0.3821 | Train Acc: 0.9062
 Site-USPS                          | Train Loss: 0.3490 | Train Acc: 0.9177
 Site-MNIST                         | Train Loss: 0.6870 | Train Acc: 0.7500
 Site-MNIST                         | Train Loss: 0.4794 | Train Acc: 0.9167
 Site-MNIST                         | Train Loss: 0.8397 | Train Acc: 0.7829
 Site-MNIST                         | Train Loss: 0.6424 | Train Acc: 0.8326
 Site-MNIST                         | Train Loss: 0.7088 | Train Acc: 0.8000
 Site-MNIST                         | Train Loss: 0.6960 | Train Acc: 0.8175
 Site-SynthDigits                   | Train Loss: 1.8930 | Train Acc: 0.3179
 Site-SynthDigits                   | Train Loss: 1.8322 | Train Acc: 0.3590
 Site-SynthDigits                   | Train Loss: 1.7480 | Train Acc: 0.3890
 Site-SVHN                          | Train Loss: 2.2374 | Train Acc: 0.1989
 Site-SVHN                          | Train Loss: 2.1400 | Train Acc: 0.2232
 Site-MNIST_M                       | Train Loss: 1.9827 | Train Acc: 0.3582
Average Train Accuracy: 0.7144
 Site-USPS                          | Val  Loss: 1.7315 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.3978 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 0.6289 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.2462 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.3269 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.2636 | Val  Acc: 0.9032
