===2023-06-29 21:52:26===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-SynthDigits                   | Val  Loss: 2.2789 | Val  Acc: 0.1475
 Site-SVHN                          | Val  Loss: 2.2946 | Val  Acc: 0.1111
 Site-SVHN                          | Val  Loss: 2.2893 | Val  Acc: 0.1111
 Site-MNIST_M                       | Val  Loss: 2.3004 | Val  Acc: 0.2000
Average Valid Accuracy: 0.2305
 Best site-USPS                      | Epoch:3 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.2222
 Best site-USPS                      | Epoch:3 | Val Acc: 0.2353
 Best site-USPS                      | Epoch:3 | Val Acc: 0.3226
 Best site-USPS                      | Epoch:3 | Val Acc: 0.3750
 Best site-USPS                      | Epoch:3 | Val Acc: 0.4510
 Best site-USPS                      | Epoch:3 | Val Acc: 0.3989
 Best site-USPS                      | Epoch:3 | Val Acc: 0.4048
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2222
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2812
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2931
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.3524
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.3333
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.1892
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.2206
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.1475
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.1111
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.1111
 Best site-MNIST_M                   | Epoch:3 | Val Acc: 0.2000
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/fedmix...
============ Train epoch 4 ============
 Site-USPS                          | Train Loss: 2.0336 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0537 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1433 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.1103 | Train Acc: 0.4474
 Site-USPS                          | Train Loss: 1.9843 | Train Acc: 0.4857
 Site-USPS                          | Train Loss: 2.0852 | Train Acc: 0.4603
 Site-USPS                          | Train Loss: 2.0927 | Train Acc: 0.4537
 Site-USPS                          | Train Loss: 2.1001 | Train Acc: 0.4303
 Site-USPS                          | Train Loss: 2.0884 | Train Acc: 0.4457
 Site-USPS                          | Train Loss: 2.0788 | Train Acc: 0.4679
 Site-MNIST                         | Train Loss: 2.1990 | Train Acc: 0.2750
 Site-MNIST                         | Train Loss: 2.1036 | Train Acc: 0.4167
 Site-MNIST                         | Train Loss: 2.1283 | Train Acc: 0.2946
 Site-MNIST                         | Train Loss: 2.1621 | Train Acc: 0.3605
 Site-MNIST                         | Train Loss: 2.1905 | Train Acc: 0.3095
 Site-MNIST                         | Train Loss: 2.1826 | Train Acc: 0.2844
 Site-SynthDigits                   | Train Loss: 2.2816 | Train Acc: 0.1656
 Site-SynthDigits                   | Train Loss: 2.2826 | Train Acc: 0.1648
 Site-SynthDigits                   | Train Loss: 2.2735 | Train Acc: 0.1955
 Site-SVHN                          | Train Loss: 2.2861 | Train Acc: 0.0939
 Site-SVHN                          | Train Loss: 2.2789 | Train Acc: 0.1498
 Site-MNIST_M                       | Train Loss: 2.2984 | Train Acc: 0.1383
Average Train Accuracy: 0.3351
 Site-USPS                          | Val  Loss: 2.4109 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.3174 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2213 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.1506 | Val  Acc: 0.2222
 Site-USPS                          | Val  Loss: 2.1726 | Val  Acc: 0.2353
 Site-USPS                          | Val  Loss: 2.1271 | Val  Acc: 0.3226
 Site-USPS                          | Val  Loss: 2.0949 | Val  Acc: 0.3929
 Site-USPS                          | Val  Loss: 2.0736 | Val  Acc: 0.4706
 Site-USPS                          | Val  Loss: 2.1116 | Val  Acc: 0.4098
 Site-USPS                          | Val  Loss: 2.1077 | Val  Acc: 0.4169
 Site-MNIST                         | Val  Loss: 2.1933 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.1771 | Val  Acc: 0.2778
 Site-MNIST                         | Val  Loss: 2.1641 | Val  Acc: 0.3750
 Site-MNIST                         | Val  Loss: 2.1752 | Val  Acc: 0.3621
 Site-MNIST                         | Val  Loss: 2.1660 | Val  Acc: 0.4095
 Site-MNIST                         | Val  Loss: 2.1655 | Val  Acc: 0.3598
 Site-SynthDigits                   | Val  Loss: 2.2947 | Val  Acc: 0.1622
 Site-SynthDigits                   | Val  Loss: 2.3242 | Val  Acc: 0.2059
 Site-SynthDigits                   | Val  Loss: 2.2730 | Val  Acc: 0.1885
 Site-SVHN                          | Val  Loss: 2.2919 | Val  Acc: 0.1111
 Site-SVHN                          | Val  Loss: 2.2879 | Val  Acc: 0.1111
 Site-MNIST_M                       | Val  Loss: 2.2963 | Val  Acc: 0.2143
Average Valid Accuracy: 0.2476
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.2222
 Best site-USPS                      | Epoch:4 | Val Acc: 0.2353
 Best site-USPS                      | Epoch:4 | Val Acc: 0.3226
 Best site-USPS                      | Epoch:4 | Val Acc: 0.3929
 Best site-USPS                      | Epoch:4 | Val Acc: 0.4706
 Best site-USPS                      | Epoch:4 | Val Acc: 0.4098
 Best site-USPS                      | Epoch:4 | Val Acc: 0.4169
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.2778
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.3750
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.3621
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.4095
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.3598
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.1622
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.2059
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.1885
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.1111
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.1111
 Best site-MNIST_M                   | Epoch:4 | Val Acc: 0.2143
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/fedmix...
============ Train epoch 5 ============
 Site-USPS                          | Train Loss: 1.9865 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0103 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1141 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.0755 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0299 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0457 | Train Acc: 0.4762
 Site-USPS                          | Train Loss: 2.0495 | Train Acc: 0.4758
 Site-USPS                          | Train Loss: 2.0686 | Train Acc: 0.4597
 Site-USPS                          | Train Loss: 2.0471 | Train Acc: 0.4620
